"ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000038623","Tm6sf1",2.91091612170054,2.41639997660385,4.23612165378682,0.00031641095756304,0.0881474623728058,0.108204821260627
"ENSMUSG00000066258","Trim12a",1.51012227361142,5.92278596632095,4.2181287464064,0.000330877742654814,0.0899829899191258,0.303319342464964
"ENSMUSG00000063488","Zkscan7",2.90584768690986,0.925667982427612,4.14773504852614,0.000394089202363624,0.0977360265190058,-0.116326297464773
"ENSMUSG00000050350","Gpr18",-0.825825324552278,6.84006284826295,-3.62286701084445,0.00143921191980716,0.186803165318606,-1.62802788873697
"ENSMUSG00000048058","Ldlrad3",-2.45211619759146,1.02998512863071,-3.53016299234694,0.001804688387587,0.19676906617032,-1.31479689598817
"ENSMUSG00000009585","Apobec3",0.652100749289887,6.86380046524143,3.42883287709664,0.00230828020029103,0.231273477611615,-1.88515718071071
"ENSMUSG00000031146","Plp2",-0.63106248381995,5.62186875151099,-3.33873692586127,0.00286940559757902,0.25406473438409,-2.05288224048304
"ENSMUSG00000003528","Slc25a1",-0.517533435439947,6.42598557731225,-3.3269310434703,0.00295212662128808,0.257398398995056,-2.30208583980046
"ENSMUSG00000029763","Exoc4",0.814458872939692,5.68965958958155,3.30870899374811,0.00308437281360645,0.25842692108253,-1.93250280113723
"ENSMUSG00000026832","Cytip",0.423281001501353,9.24535550941415,3.28040483653333,0.0033012738455644,0.261863363284246,-2.55232093357315
"ENSMUSG00000021252","Erg28",-0.545455886659894,6.20494205262897,-3.26730588974313,0.00340659701898844,0.261863363284246,-2.28341042057009
"ENSMUSG00000033105","Lss",-0.704862456225356,5.89281079632103,-3.1816598441752,0.00417996896565143,0.291119545888236,-2.57533424435098
"ENSMUSG00000067006","Serpinb5",-1.74909960495335,-0.232371766645086,-3.10697375955467,0.00499072617886079,0.325206536189135,-2.06604558350793
"ENSMUSG00000035478","Mbd3",-0.45811753198964,7.9178289423658,-2.95551158325903,0.00712423698607357,0.393106448574552,-3.31428071667626
"ENSMUSG00000029204","Rhoh",-0.650673377828387,7.53215889493943,-2.94577598948094,0.00728780830360579,0.394621084893292,-3.00868030433388
"ENSMUSG00000049411","Tmem241",-2.21389716036469,3.48156023862051,-2.94033606971466,0.00738076399485816,0.394621084893292,-2.36217281354993
"ENSMUSG00000030683","Sez6l2",-2.16615697086814,1.85045111133169,-2.93439642213755,0.00748355290046117,0.394621084893292,-2.37767820427293
"ENSMUSG00000050241","Klre1",1.9423991629159,2.72541804419548,2.90183997587709,0.00807169602761006,0.405181277472359,-2.43716415219891
"ENSMUSG00000029050","Ski",0.600301225172139,6.80458206711329,2.89216799624454,0.00825475610153897,0.405181277472359,-3.0402727038932
"ENSMUSG00000023940","Sgo1",2.3160610066665,1.43978797321441,2.88253113039249,0.00844108448853462,0.405181277472359,-2.48187840942992
"ENSMUSG00000053931","Cnn3",-0.62498887899207,6.04480945023343,-2.82879931612798,0.00955564787318263,0.417247747175655,-3.15550288161778
"ENSMUSG00000033610","Pank1",-2.32472290367401,1.04716301548446,-2.77064550729802,0.0109189785692349,0.443814716774749,-2.67442357598466
"ENSMUSG00000028133","Rwdd3",-2.21445726679136,0.804620390150205,-2.76726468809221,0.0110036571370307,0.443814716774749,-2.67714146232576
"ENSMUSG00000039086","Ss18l1",-2.04416082860888,2.64573285405288,-2.6812459195701,0.0133790988501977,0.473114758721233,-2.83321630473415
"ENSMUSG00000025862","Stag2",0.598475017149775,6.82987723337117,2.66921434176148,0.0137475728797753,0.483080405792905,-3.54543285274761
"ENSMUSG00000037971","1110032A03Rik",2.12420634672973,2.4548220576772,2.66520770191145,0.01387238426721,0.483080405792905,-2.8583723754171
"ENSMUSG00000030180","Kdm5a",0.717315487487344,6.8540969446688,2.6140006893337,0.0155642907650354,0.497627417193257,-3.67988890273845
"ENSMUSG00000030096","Slc6a6",-0.367786066740278,6.85986247742116,-2.51892945982337,0.019229484840631,0.520605893062661,-4.0798482374499
"ENSMUSG00000027562","Car2",1.32518411379451,5.10421495858676,2.4981329759976,0.0201319270601721,0.532284423336309,-3.50286911132001
"ENSMUSG00000089872","Rps6kc1",-2.32704100760649,2.18708322669305,-2.49485539530483,0.0202776981114234,0.533667898222761,-3.15507271516313
"ENSMUSG00000025997","Ikzf2",1.28199082664582,5.1705677475702,2.49042055995295,0.0204765011847935,0.534071717313274,-3.37068595509519
"ENSMUSG00000014791","Elmo3",-2.0489729564036,2.36146167573004,-2.4795063249948,0.020973501935529,0.538335593500253,-3.17278575314044
"ENSMUSG00000017774","Myo1c",-0.713729210440399,4.7834504855939,-2.4720379133115,0.0213200229427791,0.541149560116495,-3.75370708120337
"ENSMUSG00000019734","Tmc4",-1.4369898839742,1.53780430583247,-2.45630358739059,0.0220675276143779,0.54536654114987,-3.21999829723145
"ENSMUSG00000053310","Nrgn",1.78972332478887,1.6959687555778,2.45196617062346,0.0222778220004781,0.547219963203142,-3.21756073474042
"ENSMUSG00000040859","Bsdc1",0.742033145804381,5.76364080935498,2.4498979026959,0.022378752171619,0.547829219664708,-3.71807616249716
"ENSMUSG00000043336","Filip1l",0.941567266850898,5.3581251453217,2.44753709516012,0.0224944759256477,0.547829219664708,-3.47016537875848
"ENSMUSG00000032966","Fkbp1a",-0.304231199118929,8.92313958493768,-2.429840274676,0.0233797635259058,0.554032487537128,-4.50367473211488
"ENSMUSG00000027583","Zbtb46",-1.80469655869572,1.83212829322015,-2.42518788171414,0.0236177953251862,0.555066786428552,-3.26051045279112
