"ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000006344","Ggt5",2.66936695818032,3.6146437229367,4.23849227326511,0.000314552517743012,0.0881474623728058,0.0921354581863296
"ENSMUSG00000063488","Zkscan7",2.90584768690986,0.925667982427612,4.14773504852614,0.000394089202363624,0.0977360265190058,-0.116326297464773
"ENSMUSG00000041849","Card6",2.63207851176476,3.30655992344326,3.78435021462974,0.000968260446372886,0.157992440263873,-0.78593982250564
"ENSMUSG00000021214","Akr1c18",-0.980901973526022,2.48569626589274,-3.57761944721766,0.00160748593158119,0.193270571689688,-1.2619215536639
"ENSMUSG00000048058","Ldlrad3",-2.45211619759146,1.02998512863071,-3.53016299234694,0.001804688387587,0.19676906617032,-1.31479689598817
"ENSMUSG00000002308","Cd320",-0.629997978802045,5.49511461102575,-3.36248540101194,0.00270977878062004,0.247608745857937,-2.00837090241432
"ENSMUSG00000031146","Plp2",-0.63106248381995,5.62186875151099,-3.33873692586127,0.00286940559757902,0.25406473438409,-2.05288224048304
"ENSMUSG00000021252","Erg28",-0.545455886659894,6.20494205262897,-3.26730588974313,0.00340659701898844,0.261863363284246,-2.28341042057009
"ENSMUSG00000018930","Ccl4",0.760872266060428,7.18176357131288,3.17347136191822,0.00426223398567658,0.291853762091378,-2.84766715572935
"ENSMUSG00000023940","Sgo1",2.3160610066665,1.43978797321441,2.88253113039249,0.00844108448853462,0.405181277472359,-2.48187840942992
"ENSMUSG00000032690","Oas2",2.43196873624006,2.87077546673202,2.77770555896172,0.0107441332377409,0.443814716774749,-2.66398873020304
"ENSMUSG00000033610","Pank1",-2.32472290367401,1.04716301548446,-2.77064550729802,0.0109189785692349,0.443814716774749,-2.67442357598466
"ENSMUSG00000037971","1110032A03Rik",2.12420634672973,2.4548220576772,2.66520770191145,0.01387238426721,0.483080405792905,-2.8583723754171
"ENSMUSG00000069892","9930111J21Rik2",1.89271701739743,3.77457426858709,2.57747119295161,0.0168875281094649,0.497627417193257,-3.00949108343905
"ENSMUSG00000025140","Pycr1",1.25103183201171,1.8875704393929,2.55523045953855,0.0177439766030662,0.501662625644115,-3.12621306647789
"ENSMUSG00000004885","Crabp2",-1.28077267047309,1.81831240931513,-2.408327836729,0.0244993129625971,0.565704106210025,-3.37437144077483
"ENSMUSG00000019302","Atp6v0a1",-1.72708080478109,2.43572750127375,-2.32769512033861,0.0291502649863451,0.593056973393655,-3.4585016912903
"ENSMUSG00000049439","Cyp20a1",-0.882229428883407,3.93397675240249,-2.30846253499069,0.0303733182065978,0.593056973393655,-3.78666129943673
"ENSMUSG00000032484","Ngp",2.41685011721588,3.13049446000166,2.30761909492527,0.0304280157331317,0.593056973393655,-3.47628379169003
"ENSMUSG00000053730","Tmem39b",-0.57222548008987,4.41195180829921,-2.27096384990339,0.032894028821094,0.609931094277542,-4.09043926870158
"ENSMUSG00000024851","Pitpnm1",0.440960323916973,7.68361484862879,2.26239731018075,0.033496056827239,0.609931094277542,-4.55530821761301
"ENSMUSG00000010051","Hyal1",1.5238174325689,1.25321028732522,2.25445110683066,0.0340634552948122,0.609931094277542,-3.53022211328155
"ENSMUSG00000070327","Rnf213",0.862347094594716,5.88011144711333,2.19575141646685,0.0385334823728806,0.635202897841482,-4.06117705764465
"ENSMUSG00000037552","Plekhg2",0.719546503155293,5.54160201413793,2.14539518015678,0.0427847026743167,0.648838203804098,-4.08078423831631
"ENSMUSG00000030401","Rtn2",1.60273382623023,0.109194123700001,2.13069319677737,0.0441033070622914,0.648838203804098,-3.71649451809045
"ENSMUSG00000049551","Fzd9",-1.57094694944922,0.0479078491199391,-2.10332768534188,0.0466554206680677,0.654264366499297,-3.75589131121899
"ENSMUSG00000046179","E2f8",1.55059149991321,0.774660173603487,2.07989260226623,0.0489454834665448,0.664269754001195,-3.80435268612397
"ENSMUSG00000042035","Igsf3",-1.6492678649285,1.9445199095989,-2.07033835457279,0.0499076381717134,0.664269754001195,-3.80696374105221
"ENSMUSG00000029752","Asns",1.47062609757826,2.05996194875931,2.05923509255241,0.0510469997658664,0.667628817970492,-3.89329857508437
"ENSMUSG00000012076","Brms1l",-0.754413165324223,4.72227807049451,-2.04723792779006,0.0523041396837978,0.673543159524395,-4.33604930206503
"ENSMUSG00000003849","Nqo1",1.25742753168902,1.37750324535693,2.01093868498212,0.0562774726809531,0.682611476354636,-3.97940255006029
"ENSMUSG00000045294","Insig1",-0.32490815716711,6.86787724816654,-1.99392218301303,0.0582307291907034,0.682611476354636,-5.22582582020574
"ENSMUSG00000029647","Pan3",0.646288082551417,5.87435965782962,1.98825761673982,0.0588941412342174,0.682611476354636,-4.49001532512357
"ENSMUSG00000062661","Ncs1",-0.637242212676988,2.34199993456198,-1.97606693219577,0.0603446002214322,0.682611476354636,-4.4155524288623
"ENSMUSG00000029304","Spp1",1.71489311699762,1.62857367624773,1.96448787300926,0.0617514326597092,0.68345432542558,-4.05356900885462
"ENSMUSG00000033022","Cdo1",1.32662683592826,0.531956009942465,1.93340292364282,0.0656722599305531,0.693121064904585,-4.03058460060468
"ENSMUSG00000032478","Nme6",-1.31018969365666,3.72732231256775,-1.92955883882849,0.0661720255063132,0.695914333867133,-4.18209793747473
"ENSMUSG00000021559","Dapk1",-1.0959633629664,4.32802084038946,-1.92255103240063,0.0670917052270125,0.69783462990371,-4.27759438080965
"ENSMUSG00000024354","Slc23a1",1.46225560777532,-0.065968023752699,1.90816151994824,0.0690153597737057,0.705490322123058,-4.04952415850397
