"ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000018983","E2f2",3.83493577749816,3.13520677610645,7.64942660705205,9.59082193480819e-08,0.00109546368139379,6.20758163258886
"ENSMUSG00000024186","Rgs11",-3.08449129207572,3.1171432372496,-5.78824372966207,6.92928606323917e-06,0.0263821018047726,3.16437559008454
"ENSMUSG00000033350","Chst2",-0.899646885501363,5.45561814321245,-5.18739686387837,2.9932798261291e-05,0.0689836757371913,2.09120765922422
"ENSMUSG00000066150","Slc31a1",-1.14928425953532,5.03732136066638,-5.04042840806331,4.29925320163246e-05,0.0689836757371913,2.05740689375967
"ENSMUSG00000026581","Sell",0.768769956995805,8.5529349819394,5.03552162190273,4.35163686298426e-05,0.0689836757371913,1.88393516611393
"ENSMUSG00000040929","Rfx3",-2.90172883787313,2.47407989235853,-4.98106967714039,4.97804422096776e-05,0.0689836757371913,1.643101885701
"ENSMUSG00000037211","Spry1",-0.831197249286481,6.04832871740177,-4.87737634505372,6.43373458360639e-05,0.0689836757371913,1.37670219875184
"ENSMUSG00000055148","Klf2",0.792114696903805,8.65818353962596,4.73340504722994,9.19330270803228e-05,0.0730387482713828,1.2125071473175
"ENSMUSG00000042675","Ypel3",1.25647971105076,7.02937230511234,4.70641156989815,9.83035956640255e-05,0.0730387482713828,1.36531858458265
"ENSMUSG00000003809","Gcdh",1.4533457464148,5.14055104364839,4.7037073410164,9.89657609330063e-05,0.0730387482713828,1.4149129488488
"ENSMUSG00000023805","Synj2",-2.77994783275761,1.45310355806194,-4.67737420254245,0.000105652724590556,0.0730387482713828,1.0164082244213
"ENSMUSG00000027639","Samhd1",0.982667204290119,7.6721638852037,4.66987527377055,0.00010763870899429,0.0730387482713828,1.06830217156636
"ENSMUSG00000043832","Clec4a3",3.20104800715694,1.76619314098447,4.541603462162,0.000148045430515192,0.0799606237489008,0.642153161937801
"ENSMUSG00000063268","Parp10",1.06085830186689,6.6809045498441,4.51393026660845,0.000158589460579345,0.0799606237489008,0.810185055121925
"ENSMUSG00000039943","Plcb4",3.2330168579389,1.03031963322112,4.43678910494748,0.000192123308386455,0.0843994685081023,0.49477921169348
"ENSMUSG00000052160","Pld4",3.50934183606992,2.67229909805742,4.40679379531719,0.000207002194416364,0.0843994685081023,0.511341370889492
"ENSMUSG00000020649","Rrm2",2.26874133895735,4.20453619300322,4.40220862950415,0.000209376005487617,0.0843994685081023,0.675263585031335
"ENSMUSG00000017493","Igfbp4",-0.77326041853143,9.03678682085469,-4.33206534958233,0.000249273748713666,0.0843994685081023,-0.0267331947144287
"ENSMUSG00000053846","Lipg",-2.69751568314804,0.334641096064916,-4.32040423823259,0.00025660678915827,0.0843994685081023,0.257186096710261
