"","Har48hVsNaive_unique","NoHar48hVsNaive_unique","Har48hVsNaive_NoHar48hVsNaive_intersection"
"103","Rabac1","N4bp2l2","Cdkn1a"
"104","Gba","Senp6","Lad1"
"105","Pdlim2","Haus4","Lef1"
"106","Nol11","Nans","Ppp1r18"
"107","Rcc1l","Hbs1l","Tuba1b"
"108","Pold2","Slc39a4","Ifi213"
"109","Usp10","Il23r","Cd96"
"110","Tbc1d10a","Cmtm7","Otulinl"
"111","Impa1","Trappc12","Mif"
"112","Atg12","Nfyb","Galk1"
"113","Wdr26","Tmem131l","Tapbp"
"114","Lamtor5","Usp24","Rgs2"
"115","Adh5","Cebpg","Ddx1"
"116","Nras","Cabin1","Pde4b"
"117","Stk4","Sytl3","Uhrf1"
"118","Trmt6","Gpr171","Klf2"
"119","Tysnd1","Tmc6","Il2ra"
"120","Eef1akmt1","Cisd3","H2-D1"
"121","Hmgn1","Tmbim4","Paics"
"122","Syncrip","Riox2","Tspan32"
"123","Pafah1b1","Lrrc8d","Tipin"
"124","Ddx50","Fdxr","Cks1b"
"125","Rsl1d1","Il22","Srsf5"
"126","Dlgap4","Anks3","Elf1"
"127","Pkmyt1","Copg2","Slc19a1"
"128","Cops4","Ahcyl1","Cd37"
"129","Nde1","Npepps","Tcp1"
"130","Ndufa9","1810037I17Rik","Cyb5b"
"131","Tnfaip8l2","Afg3l2","H2-Q7"
"132","Kmt5a","Gng2","Cdca8"
"133","Spata6","Pde6d","Rsrp1"
"134","Ube2l3","Pxk","Nudcd2"
"135","Pea15a","Fcf1","Stip1"
"136","Nedd8","Safb2","Rfc5"
"137","Mbd3","Msl1","Gars"
"138","Parvg","Clasrp","Add3"
"139","Srpr","Fam32a","Klf3"
"140","Usp25","Apba3","Tmem109"
"141","Pvr","mt-Nd2","Prmt1"
"142","Aip","Zfp384","Ccdc50"
"143","Timm22","Spen","Foxo1"
"144","Smim29","Espn","Acp5"
"145","Pgls","Slc7a6os","Ero1a"
"146","Rsl24d1","Ggta1","Pclaf"
"147","Tnip1","Prps1","Il16"
"148","Gtf2h5","Milr1","Tufm"
"149","Rftn1","Mcub","Acap1"
"150","Nsdhl","Ints4","Mcl1"
"151","Nfs1","Glo1","Nup93"
"152","Ap1ar","Clybl","Sell"
"153","Cox6b1","Mvb12a","Jakmip1"
"154","Sla2","Smg9","Racgap1"
"155","Gtf2h3","Dhx9","Kbtbd2"
"156","Nadk","Ccdc12","Ezh2"
"157","Ak3","Mapkapk2","Saraf"
"158","Cdkn2aip","Pfdn6","Fos"
"159","Mtarc2","Maged2","Phb2"
"160","Ctps2","Borcs8","Bhlhe40"
"161","Nucks1","Rraga","Entrep3"
"162","Nab2","Ciao1","Dusp5"
"163","Plaur","Fuca2","Stmn1"
"164","Chmp1b","Tbx21","Akap13"
"165","Srprb","Lztr1","Arhgap15"
"166","Ola1","Rcn1","Rcsd1"
"167","Srp19","Pdcl3","Hat1"
"168","Wdr48","Bcl3","Id3"
"169","2810004N23Rik","Galk2","Psmd2"
"170","Otub1","1700037H04Rik","Ifngr1"
"171","U2af1","Arglu1","Eif3l"
"172","Ppm1j","Glod4","Rpl7l1"
"173","Nol12","Wdr20","Septin1"
"174","Snrpe","Prrc1","Aldoa"
"175","Mta3","Ubash3b","Cd3e"
"176","Arhgap30","Ramp3","Hdgf"
"177","Cox6a1","Sik3","Gspt1"
"178","H2-M3","Casp6","Ypel3"
"179","Pus1","Selenbp1","Idh3a"
"180","Atxn7l1","Sppl3","Rhoh"
"181","Elac2","Flnb","Gcat"
"182","Nol9","Ascc2","Il27ra"
"183","Ptges3","Pum2","Bub1b"
"184","Lmf2","Axin1","Tubb4b"
"185","Plaat3","Ebag9","Gtf2i"
"186","Tmsb4x","Btbd6","Evl"
"187","Sesn3","Dglucy","Ctss"
"188","Fasn","Nufip2","Hnrnpa1"
"189","Ccdc86","Gpr174","Arhgef1"
"190","Gabarap","Sfpq","C1qbp"
"191","Prkar2a","Mrgbp","Lsp1"
"192","Yars2","Cd5l","Fignl1"
"193","H2-DMa","Irf5","Sfxn1"
"194","Abcb9","Insl6","Eif4a2"
"195","Lsm3","Nup153","Pfkp"
"196","Trafd1","Rsbn1","Cdca7"
"197","Pkp3","Spin1","Maf1"
"198","Rrs1","Oxr1","Gramd1a"
"199","Parp1","Med21","Cdc45"
"200","Vasp","Mfap1b","Cnn2"
"201","Enoph1","Fam53b","Marcksl1"
"202","Fam53a","Pknox1","Nrbp1"
"203","Cyld","Klf10","Cct8"
"204","Ppp1r11","Ccl4","Aurkb"
"205","Lsm7","Abca2","Nsun2"
"206","Mrps17","Gfpt1","Fam136a"
"207","Atp5j","Acy1","Zc3hav1"
"208","Slc39a6","Aimp1","Mrps6"
"209","Snrpg","Osm","Utp4"
"210","Exosc9","Ankrd39","Stoml2"
"211","Bcl2","Cd274","Vamp2"
"212","Gtf2e1","Gzf1","Klf13"
"213","Cstf1","Washc4","Irs2"
"214","Oga","Plbd2","Prelid1"
"215","Nkg7","Ptpn4","Selenop"
"216","Wdr73","Slc10a3","Nolc1"
"217","Spout1","Mrrf","Lrrc59"
"218","Cdc23","Gclc","Nudt5"
"219","Cep97","Rbm38","Tagap"
"220","Ubox5","Zfp512","4930523C07Rik"
"221","Txndc5","E130308A19Rik","Acot7"
"222","Grsf1","Cenpl","Tecpr1"
"223","Socs3","Sec22c","Noc4l"
"224","Lsm1","Gpd1l","Kif22"
"225","Nom1","Rasa1","Clpp"
"226","Wdr70","Procr","Hnrnpll"
"227","Arhgef6","Galc","Gstt2"
"228","Ubxn2a","Ccnt2","Phf5a"
"229","Ephx1","Cep164","Zc3h12d"
"230","Ubxn6","Aplp1","Jak1"
"231","Atp5g3","Armc5","Dapl1"
"232","Tmsb10","C9orf72","Pdcd1"
"233","Supv3l1","Rccd1","Timm50"
"234","Mrpl19","Snupn","Spcs3"
"235","Ebp","Malsu1","Tcp11l2"
"236","Eci1","Il33","Cct5"
"237","Naxe","Creld1","Ccnb1"
"238","Dnaja3","Tfb2m","Ier5"
"239","Paxip1","Nat9","Tubg1"
"240","Pnrc2","Hdac10","Yars"
"241","Cfdp1","Kat2a","Ube2c"
"242","Eef1aknmt","Chm","Umps"
"243","Nudt19","Dtd2","Ccdc88c"
"244","Obi1","Kank2","B4galnt1"
"245","B4galt1","Armc8","Mrpl45"
"246","Dnlz","Hpf1","Nop16"
"247","Pspc1","Fam149b","Rac2"
"248","Tnf","Osgin2","Ube2m"
"249","Hgh1","H1f4","Ddx39a"
"250","Nop10","Soat2","Itm2b"
"251","Tmem167","Slc66a2","Pdcd4"
"252","Ubap2","Cldnd1","Il12rb1"
"253","Tmem126a","Tmem268","Mad2l1"
"254","Nrm","Mfhas1","Nhp2"
"255","Eif2a","Prkag2","Dkc1"
"256","Nfe2l2","Ece1","Prkd2"
"257","Acadm","Bet1l","Rfc4"
"258","Ppp1r8","Arfgap3","Rps27l"
"259","Cblb","Pfkm","Cdk1"
"260","Lemd2","Akip1","Ndrg3"
"261","Rnf126","Pgm3","Cbx4"
"262","E2f4","Ntrk3","Cirbp"
"263","Kidins220","Dynlt1f","Tkt"
"264","Camk4","Pan2","Got2"
"265","Elp1","Eps15l1","Abcd3"
"266","Stx4a","Lsm11","Prdx2"
"267","Gpatch4","Ndor1","Pgp"
"268","Mcrip1","Tpd52","Cinp"
"269","Get3","Tulp4","Mthfd2"
"270","Pole2","Usp34","Odc1"
"271","Atp11b","Cfap36","Stx5a"
"272","Noc3l","Mysm1","Plk1"
"273","Slc35g1","Dlgap3","Znrf1"
"274","Cops2","Tmem45a","Lpcat3"
"275","Ift27","Irak2","Akap8l"
"276","Scarb2","Glipr1","Smyd5"
"277","Mib2","Dusp7","Scarb1"
"278","Rchy1","Hyls1","Ms4a4b"
"279","Atp5md","Adssl1","Bin2"
"280","Ufl1","Ppic","Cul2"
"281","Uba6","Chchd10","Bysl"
"282","Atp5g1","Ylpm1","Pa2g4"
"283","Mau2","Apold1","Atp1b3"
"284","Parp9","Numb","Sdhd"
"285","Naga","Rras","Gmps"
"286","Fam111a","2310033P09Rik","Fads2"
"287","Pttg1","Pskh1","Pik3r1"
"288","Slc37a1","Eya3","Ndc1"
"289","Exosc7","C2cd3","Limd2"
"290","Exosc4","Deaf1","Dennd1c"
"291","Gbp2","R3hcc1l","Fkbp4"
"292","Qdpr","Creb3l2","Gtse1"
"293","Hdhd2","Foxk1","Lta"
"294","Emc7","Cipc","Uchl5"
"295","Rnf113a2","Gpatch3","Prr14"
"296","Mecp2","Prr22","Gart"
"297","Mov10","Hycc1","Eif2s1"
"298","Laptm4a","Gstm4","Eif2b1"
"299","Golga4","Slc35a2","Tpx2"
"300","Ccdc71l","Guca1b","Cct4"
"301","Nudt4","Taf1c","Immt"
"302","Zfp280b","Cc2d1b","Nop2"
"303","Dennd4a","Abhd5","Psma6"
"304","Pou2af1","Gla","Gcsh"
"305","Idnk","Blcap","Mapre2"
"306","Wbp4","Secisbp2","Emp3"
"307","Nr4a1","Foxj3","Rdh11"
"308","Lpgat1","Pik3r6","Arhgdig"
"309","Timm23","Tmprss6","Tars"
"310","Oaz2","Bloc1s5","Smc2"
"311","Washc2","Terf1","Rgs14"
"312","Zfp654","Tpgs2","Slc16a3"
"313","Ndufa5","Alg9","Rcl1"
"314","Ccdc82","Kansl3","Eif1"
"315","Gnl3l","Igfbp2","Eif4h"
"316","Rprd1b","Pgap2","Fam162a"
"317","Rbl2","Sap30l","Neurl3"
"318","Ascc3","Hspa13","Slc16a1"
"319","Lmna","Nid1","Dock8"
"320","Trim25","Kri1","Ccng1"
"321","Cd3eap","Gphn","Cct2"
"322","Pank4","Vars","Prkcq"
"323","Klk8","Rab35","Ssr2"
"324","Ilvbl","Ap4s1","Fabp5"
"325","Mvp","Trps1","Cdca3"
"326","Ttll12","Cant1","Hnrnpab"
"327","Abitram","Sp1","Gimap4"
"328","Cst7","Tepsin","Laptm5"
"329","Hook1","Snx10","Rbbp7"
"330","Aldh3a2","Ppp2r3c","Sash3"
"331","St7l","Gadd45g","Samhd1"
"332","Utp20","Zc3h4","Higd1a"
"333","Fam98a","Traj2","Ruvbl1"
"334","Isg15","Cdin1","Arhgap4"
"335","Thoc6","Ttll1","Ankrd11"
"336","Tmco1","Dgke","Slc2a1"
"337","Mrps14","Zfp942","Zfp52"
"338","Asb2","Ccdc85b","Pgd"
"339","Gm49336","Ndufaf7","Pold3"
"340","Aasdhppt","Scn1b","Bcl11b"
"341","Rassf1","Sord","Ankrd44"
"342","Slc30a6","Arl14ep","Mycbp2"
"343","Timm9","Star","Eif4e"
"344","Prkch","Bmyc","Ppa1"
"345","Dipk1a","Ttc39c","Dlgap5"
"346","Eif3j1","Traf3","Vps37b"
"347","Pbdc1","Tmem102","Tyms"
"348","Il18r1","Copz2","Mdh2"
"349","Tyk2","Il1r2","Tmem97"
"350","S100a5","Ttc37","Rnf114"
"351","Mga","Ptgr2","Als2cl"
"352","S100a13","Tmem141","Mafk"
"353","Herc4","Atf3","Rasgrp2"
"354","Glrx","Mbtd1","Eif6"
"355","Rnf215","Slf2","Rflnb"
"356","Rabep2","Cspp1","Ssrp1"
"357","Pusl1","Tpm2","Prep"
"358","Khdrbs3","Zfp866","Npm1"
"359","Ptcd1","Stx17","B2m"
"360","Zfp260","Pard6a","Cnp"
"361","Zfp35","Casz1","Cyc1"
"362","Atic","2700062C07Rik","Gm8369"
"363","Zkscan6","Nfe2l1","Trip13"
"364","Ccdc174","Nucb2","Sigmar1"
"365","Ppp1r16b","Nudt22","Psma5"
"366","Phf20","Gstm1","Chd3"
"367","Tm7sf2","Phactr2","Irf9"
"368","Ublcp1","Cerk","Cs"
"369","Coq8a","Dennd11","Tpm4"
"370","Foxk2","Cep72","Dtl"
"371","Ing2","Slc4a8","Rangap1"
"372","Mrm3","Tab1","Phgdh"
"373","Ampd2","Kiz","Slc25a1"
"374","Trub1","Fmnl3","Psmd7"
"375","Eif2s3x","Ap1s2","Siva1"
"376","Atxn7l3b","Tmtc2","Orc6"
"377","Setd4","Zswim3","Ergic1"
"378","Cyp2s1","Gtf2ird1","Selplg"
"379","Trappc8","Ptar1","Traf3ip3"
"380","Epb41","Igf1r","Pmvk"
"381","Ppox","Lrif1","Strap"
"382","Gngt2","Nkain1","Eprs"
"383","Golt1b","Meak7","Pmpca"
"384","Frrs1l","N6amt1","Prim1"
"385","Psmd10","Atp5l","Nap1l1"
"386","Ncoa3","Pcbp4","Slc28a2"
"387","Gpr146","Dpy19l3","Syngr2"
"388","Sumf2","Adam9","Abcf2"
"389","Igf2r","Fam209","Cd27"
"390","Smyd3","Zcchc2","P4hb"
"391","Phtf1","Lhpp","Xpnpep1"
"392","Lpp","Csgalnact2","Trib2"
"393","Mphosph10","Efemp2","Ptcd3"
"394","Mafg","Metrnl","Cct3"
"395","Nbr1","Odaph","Map2k3"
"396","Wdr91","Cc2d1a","Gmnn"
"397","Mctp2","Abracl","Ube2h"
"398","Ablim2","Camsap2","Marchf7"
"399","Eny2","Plekhf1","Pin1"
"400","Med22","Clcn7","Mrpl28"
"401","Mmab","Prrc2a","Rtn3"
"402","Nppc","Selp","Zfp36l2"
"403","Papss1","Zhx3","Ncl"
"404","Lrpprc","Thnsl2","Crlf3"
"405","Jak2","Slc22a21","Eri1"
"406","Trp53inp2","Mycn","Lat"
"407","Cklf","Ksr1","Nr4a2"
"408","Lrrcc1","H2bc3","Prpf31"
"409","Nacc1","Cdkl4","Lonp1"
"410","Mrpl11","Rad54l2","Plp2"
"411","Serpini1","Acot12","Utrn"
"412","Alkbh8","Zfp758","Eif3c"
"413","Timeless","Mgst3","Pik3ip1"
"414","Rufy1","Hspb6","Bri3bp"
"415","Fez2","Rab39b","Gbp4"
"416","Fam210b","Zswim6","Stra6"
"417","Ddx19a","Zcwpw1","Tsfm"
"418","Hectd3","Psd","Fyn"
"419","Mrps21","Arhgef10","Ikbke"
"420","Lpin2","Pipox","Tardbp"
"421","Pinx1","Zfp317","Ppp2r5a"
"422","Siah1b","Ing4","Gpi1"
"423","Fndc3a","Rsbn1l","Pecam1"
"424","Krcc1","Zfp420","Pbxip1"
"425","Arl6ip6","Rnpc3","Ap1s1"
"426","Tnfaip8l1","Tmem35b","Prmt5"
"427","Cfap91","Atp9a","Sh3bp5"
"428","Snx14","Gtf3c3","Ccn1"
"429","Tcn2","Cdc42ep4","Sqle"
"430","Klhl24","S100a1","Ghitm"
"431","Ganc","Chpt1","Ak2"
"432","Xpa","Atf7","Coro1a"
"433","Zfp850","Arhgap24","Arhgdib"
"434","Shkbp1","Trav12-1","Ctps"
"435","Mrpl41","Ptgir","Sit1"
"436","Phf13","Rgp1","Kif21b"
"437","Tead1","Ung","Ywhae"
"438","Slc25a15","Rc3h1","Adcy7"
"439","Kctd18","Inppl1","Asf1b"
"440","Arhgap18","Jaml","Cyth1"
"441","Gpbp1l1","Tomt","Tob1"
"442","Akap10","H2-Q10","N4bp2l1"
"443","Unc93b1","Wdsub1","Scml4"
"444","Rnf31","Wdcp","Slc25a39"
"445","Castor1","Bcl6","Thop1"
"446","Gpatch2l","BC034090","Erg28"
"447","Ppp1r10","Mettl27","Cmah"
"448","Fam219b","Zfp825","Acat2"
"449","Cd101","Atp6v0d2","Pola2"
"450","Map2k6","Rassf7","Lmnb1"
"451","Cep104","Sema7a","Lmbr1l"
"452","Nr4a3","Slamf7","Nsg2"
"453","Bcas3","Zswim7","Morf4l2"
"454","Msh6","Ddx23","Txn1"
"455","Kdm8","Gipr","Rad51"
"456","Cdk8","Kics2","Cse1l"
"457","Btbd2","Sostdc1","Ugcg"
"458","Disp1","Isoc2b","Rasa3"
"459","Adat1","Spsb2","Ccne1"
"460","Larp1b","Clic5","Hmgcs1"
"461","Sqor","Gpat3","Gsdmd"
"462","Acbd5","Harbi1","Sp110"
"463","Mrm2","Lrrk2","Rrad"
"464","Dennd1a","Me1","Sumo3"
"465","Msantd4","Ppp1r37","Rasal3"
"466","Wwox","Ldhd","Naa20"
"467","Ipo4","B3gnt3","Txk"
"468","Tbc1d9b","Fndc10","Smap2"
"469","Eva1b","Plekhh3","Pdia6"
"470","Jag2","Mphosph9","Cisd1"
"471","Mrps33","Hrc","Cdc42se2"
"472","Csrnp2","Vgf","Acsl4"
"473","Lbh","Wdr81","Ak4"
"474","Tmem68","Mdc1","Eif4ebp1"
"475","Togaram1","Gzmc","Gfm1"
"476","Lzts1","Rbpms2","Mrpl17"
"477","Zfp740","Ofd1","Polr3h"
"478","Neto2","Wdfy1","Cnppd1"
"479","Cstpp1","Dnajc6","Idh1"
"480","Irf6","Mlh3","Ppat"
"481","Arl16","Nedd4","Rbms1"
"482","Tubgcp5","Ptn","Nsd2"
"483","Fbxl17","Hs3st3b1","Mtch1"
"484","Frmd4b","Bcl6b","Hbp1"
"485","Med29","Ythdc2","Cdc42se1"
"486","Cfap300","Tmem125","Usp3"
"487","Herc6","Rem2","Metap1"
"488","Asf1a","4930430F08Rik","Eif3b"
"489","Tm6sf1","Kalrn","Psmc1"
"490","Ppp1r26","Slc26a6","Il7r"
"491","Trp53inp1","Itga7","Cited2"
"492","Xpc","Glrp1","Alyref"
"493","Irgm2","Atp2b4","Glrx3"
"494","Ina","Pygl","Nop53"
"495","Cd8b1","Proz","Wsb1"
"496","Ctdspl","Piwil2","E2f1"
"497","Gga2","Lrrc8b","Rnf166"
"498","Tmem87a","Cyb5rl","Itpr2"
"499","Plat","Megf11","Itgb2"
"500","Dpm3","Klf8","Sik1"
"501","Cdyl2","Tas1r3","Arrb2"
"502","Zfp322a","Tenm4","H2-T22"
"503","Npm3","Mok","Dnajb1"
"504","Zfta","Dnajc27","Slc49a4"
"505","Hopx","Syne4","Tap2"
"506","Zfp27","Tbc1d32","Jund"
"507","Slc44a1","Nat14","Ablim1"
"508","Tti1","Etfrf1","Mdfic"
"509","Efna1","Homer3","Sdf2l1"
"510","Pxn","Lrfn1","Slamf1"
"511","Heatr1","Celf3","Rnf125"
"512","Mapk1ip1","Aoc2","Gale"
"513","Pkp4","Crispld2","Cth"
"514","Tep1","Foxn2","Gins2"
"515","Fam89a","Cpne6","Aaas"
"516","Rwdd2b","Eme2","Sgms1"
"517","Mief1","Cep162","Pim2"
"518","Mmd","Hes5","Nup62"
"519","Mief2","Smim26","Cd52"
"520","Sec24d","Tuba8","Traf5"
"521","0610030E20Rik","Pde4a","Gata3"
"522","Or4d11","Mmp10","Dok2"
"523","Abi3","Prr29","Tgif1"
"524","Klrc1","Dpp7","Dstn"
"525","Ogg1","Bmp7","Aurka"
"526","Jmjd4","Hamp","Dclk1"
"527","Klc4","Gvin1","Aifm1"
"528","Unc5cl","Rnf8","Fzr1"
"529","Nup35","Plekhm2","Pes1"
"530","Ppp2r5b","Uevld","Nars"
"531","Ankrd55","Slc23a1","Chchd4"
"532","Oas3","Mei4","Tle5"
"533","Alg13","Cyp4f17","Wdr61"
"534","Ier5l","Rhov","Map1lc3b"
"535","Ptpn13","Grcc10","Dnph1"
"536","Ago3","Palld","Dock2"
"537","Casp1","Ccdc38","Ifi214"
"538","Syap1","Gm10130","Ccm2"
"539","Urb2","Oaf","Hmgb2"
"540","Fam98b","Ccdc138","Zbtb21"
"541","Syt12","Rwdd2a","Pnisr"
"542","Trim24","Capn15","Sirt7"
"543","Polg","Arhgef7","Hmbs"
"544","Ldlrad3","Rps6kc1","Zfand2a"
"545","Tacc2","Utp14b","Rfc2"
"546","Accs","Trav13-2","Elovl1"
"547","Myo5a","Otub2","Map4k2"
"548","Map4k5","Pls1","Gpr132"
"549","Spryd4","Etnk2","Hells"
"550","Rab3d","Agl","Acp1"
"551","Exo5","Usp6nl","Arhgap9"
"552","Itga2","Zbtb46","Cish"
"553","Slc35a3","Gtf2ird2","Nusap1"
"554","Vrk2","Car9","Arid4a"
"555","Vkorc1l1","Vat1","Batf"
"556","Emilin2","Bcl2a1b","Ptprc"
"557","Cnbd2","Col18a1","Sema4a"
"558","Gdf15","Trpv6","Vrk3"
"559","Rtl10","Thsd1","Tprgl"
"560","Myef2","Gzmm","Rasgrp1"
"561","Slc52a3","Tmc4","Hdac2"
"562","Inha","Klhl11","Dbi"
"563","Lonrf3","Ttc12","Incenp"
"564","Mks1","Zfp940","Got1"
"565","Gm5617","Ripor3","Mfsd10"
"566","Armcx2","Dclk2","Ncapd2"
"567","Hyi","Itprid2","Ddx56"
"568","Cdc14a","Syt5","Gimap8"
"569","Aldh6a1","Lrp4","Cd4"
"570","Gpatch2","Tnp2","Psmd13"
"571","Kcnmb4","Depdc7","Fkbp1a"
"572","Castor2","Tmem198b","Epc1"
"573","Mtrf1l","Gdpd1","Hmga1"
"574","Cxcr5","Plcxd1","Stk10"
"575","Lcorl","Cela1","Card11"
"576","Miga2","Naprt","Ahcy"
"577","Lratd1","Dlk1","Serpine2"
"578","Fam131b","Arhgap35","Per1"
"579","Parp16","Popdc2","Gnpda1"
"580","Lrp8","Trav4-4-dv10","Tmem70"
"581","Ddit4l","Rab39","Ubn1"
"582","Marveld1","Smpdl3b","Trim26"
"583","P3h2","Sh3bgrl2","Hras"
"584","Man1c1","Ephx4","Tmem71"
"585","Tmem116","Mpg","Gde1"
"586","Zfp810","Pik3ap1","Mcm4"
"587","Brf2","Casp4","Slc6a6"
"588","Or13a19","Hpcal4","Trac"
"589","Wdr7","Wnk4","Sdcbp"
"590","Zbtb14","Nfe2","Uqcr11"
"591","Lrrc51","Kif3c","Sh2d3c"
"592","Nutm1","Tmem250-ps","Ranbp1"
"593","Zfp217","Tfcp2","Crip2"
"594","Gm3854","Evi2","Resf1"
"595","Rfesd","Gm45871","Psmd6"
"596","Fam78b","Map3k9","Mars1"
"597","Pias3","Atcay","Arhgap25"
"598","Bmp2","Trav3-3","Prc1"
"599","Pou4f1","Tmem74b","Tnfrsf18"
"600","Dnajb14","Nudt15","Pld3"
"601","Chn2","Tmem198","Ldb1"
"602","Fdxacb1","Efcab8","Exo1"
"603","Dennd4c","Awat2","Spc24"
"604","Trmt13","Dcst1","Pmm1"
"605","Zdhhc21","Mpp7","Rpa2"
"606","L3hypdh","Xndc1","Ssh2"
"607","Ppp1r12b","Ggn","Arid1a"
"608","Tle2","Hpse","Tmem64"
"609","Frmd6","Camk2g","Alg8"
"610","Pou2af3","Ftl1-ps1","Mthfd1"
"611","2510009E07Rik","Zpbp2","Rrp1b"
"612","Prokr1","BC049715","Pip4k2a"
"613","Ube2l6","Casc1","Prelid3b"
"614","Slc25a30","Ptprk","Abce1"
"615","Gjc1","Nudt6","Erh"
"616","Angptl2","Rtkn","Phf20l1"
"617","Wnt3","Usp35","Tubb2a"
"618","Sfmbt1","Lrrc39","P2ry10"
"619","C1ql1","Traj37","Sorl1"
"620","Mbnl3","Lancl3","Cd7"
"621","Ocstamp","Adamts6","Sae1"
"622","Cox6b2","Cep85l","Slfn1"
"623","Pik3c2a","Klra1","Ccnl2"
"624","Hint3","9130023H24Rik","Pdk3"
"625","Nipa1","Slc38a3","Eif2b5"
"626","Rnf225","Tstd1","Smpdl3a"
"627","Prkci","Cramp1","Kif18b"
"628","Platr25","Cdk5r1","Tacc1"
"629","4931428F04Rik","Tspear","Slc25a17"
"630","Pawr","Exd1","Rfc3"
