"","Har48hVsNaive_unique","NoHar48hVsNaive_unique","Har48hVsNaive_NoHar48hVsNaive_intersection"
"1","Ccr7","Smox","Tpi1"
"2","Cytip","Sdf4","Ppp1r15a"
"3","Psme3","Srrm2","Btg1"
"4","Txn2","Map2k1","Stk17b"
"5","Anxa6","Capg","Eno1"
"6","Itm2c","mt-Nd5","Junb"
"7","Tomm70a","Hsp90b1","Txnip"
"8","Uqcrc1","Nfkbib","Pnrc1"
"9","Btla","Plin2","Gimap6"
"10","Psmd3","Foxp1","Klf6"
"11","Pum3","Pck2","Rrm1"
"12","Tap1","mt-Cytb","Pgam1"
"13","Canx","Brd4","Mcm7"
"14","Ccar1","9530068E07Rik","Cyp51"
"15","Set","Gypc","Ddx5"
"16","Ddx27","Traf4","Myc"
"17","Dnajc11","Rnh1","Rrm2"
"18","Lgals9","Slfn2","Shisa5"
"19","Lgals3bp","Cd44","Dusp10"
"20","Ftsj3","P4ha1","Ldha"
"21","Actl6a","Slamf6","Cd200"
"22","Seh1l","Prpf4b","Pkm"
"23","Atad3a","Aco2","Srm"
"24","Snrnp40","Vps35","Gpr183"
"25","Cacybp","Dennd2d","Tnfrsf4"
"26","Grwd1","Chp1","Tsc22d3"
"27","Farsa","Ctcf","Tcf7"
"28","Prdx1","Oat","Itgb7"
"29","Mtpn","Tfg","Dusp1"
"30","Spry1","Mad2l2","Arhgap45"
"31","Acsl5","Golga7","Bsg"
"32","Stard7","Serpinb9","Ybx3"
"33","Ggnbp2","Pcgf5","Sp100"
"34","Gtpbp2","Mfng","Ruvbl2"
"35","Snrpa","Adprh","Gramd3"
"36","Eef1g","Akr1a1","Tfdp1"
"37","Slc25a5","Sec23b","Hspa9"
"38","Gsn","Adprm","Gapdh"
"39","Adsl","Ifitm3","Scd2"
"40","Ndufv1","Stat3","Ets1"
"41","Srpk1","Siah2","Mcm3"
"42","Serbp1","Pdrg1","Pgk1"
"43","Ppp3cc","Pbrm1","Clk1"
"44","Atpaf2","Dusp6","Birc5"
"45","Osbpl9","Niban1","Jun"
"46","Mettl16","Mllt3","Slc25a4"
"47","Rgcc","Pip4p1","Tubb5"
"48","Mogs","Rbm3","Mcm5"
"49","Heatr3","Trib3","Tnfaip3"
"50","Usp1","Zfp622","Mcm6"
"51","Zfp207","Riok1","Irf1"
"52","Orai1","Cdk2ap2","Shmt2"
"53","Ifi27l2a","Reep5","Vdac1"
"54","Ncf4","Ostf1","Psat1"
"55","H2-T23","H3f3b","Cdc20"
"56","Rfc1","Gpx4","Zfp36"
"57","Tmem14c","Dgat1","Btg2"
"58","Adss","Asl","Rpn1"
"59","Tmx1","Sucla2","Cdk4"
"60","Rtcb","Tut1","Dgka"
"61","Cast","Mmadhc","Tfrc"
"62","Wdr43","Tff1","Ybx1"
"63","Nubp2","Ly6a","H2-K1"
"64","Dcaf11","Gem","Gimap3"
"65","Gpaa1","Prpf38b","Fyb"
"66","Smpd4","Tnfrsf13b","Ccnl1"
"67","Ash2l","Acot9","Ripor2"
"68","Ppan","Arcn1","Kpna2"
"69","Pstpip1","Mettl17","Sqstm1"
"70","Ubac2","Cdh17","Hspd1"
"71","Nfkbiz","Cd84","Bcl2l1"
"72","Npc2","Lgals3","Lig1"
"73","Nifk","Arhgef3","Frat2"
"74","Csnk2b","Sh3bgrl3","Tomm40"
"75","Ddx21","Nampt","Top2a"
"76","Ncbp2","Chst12","Skap1"
"77","Fastkd2","Prpf39","Dut"
"78","Eef1d","Psmc6","Stx11"
"79","Ndufa10","Nsf","Cct6a"
"80","Ilf2","Glipr2","Psmd1"
"81","Pitrm1","Tvp23b","Ltb"
"82","Dnajc3","Tex264","H2-Q6"
"83","Abi1","Slc25a19","Ppil1"
"84","Gpr18","Gimap9","Shmt1"
"85","Noa1","Cox8a","Atp5b"
"86","Sgta","Trpm7","Pfkl"
"87","Nop58","mt-Co1","Metap2"
"88","Ifrd1","Fyttd1","S1pr1"
"89","Prpf19","Acadl","Adgre5"
"90","Ssna1","Tpr","Ccna2"
"91","Snrpd1","Polr2g","Tspan3"
"92","Lsm8","Brap","Cct7"
"93","Grina","Fbxl5","Cdc34"
"94","Poldip2","Dhrs1","Sh3kbp1"
"95","Ddit3","Enpp3","Igfbp4"
"96","Mkrn1","Slc2a3","Rnf167"
"97","Rnf7","Man2a2","Tacc3"
"98","Ncbp1","Arhgap1","Rapgef6"
"99","Zdhhc20","Pwwp3a","Nup85"
"100","Tdp1","Rnf19b","Ran"
"101","Crbn","Entpd6","Eif5a"
"102","Ppif","Tpd52l2","Rcc1"
