"","Har24hVsNaive_unique","NoHar24hVsNaive_unique","Har24hVsNaive_NoHar24hVsNaive_intersection"
"617","Niban3","Hs1bp3","Sh2d3c"
"618","Caprin2","Lrp12","Akna"
"619","Traj37","Igip","Dnph1"
"620","Rbpms","Ido2","Rinl"
"621","Phactr3","Prph","Elp5"
"622","Pou5f2","Ccdc62","Cdv3"
"623","Podnl1","Mcoln3","Ebna1bp2"
"624","Rnd3","Ccnjl","Ubn1"
"625","H4c16","Thoc2l","Pus7"
"626","Alox5","4921507P07Rik","Tubb2a"
"627","Lrrk2","Trav6d-5","Npc2"
"628","Hlx","Fbxo10","Nipbl"
"629","Atp4a","Syt3","Clns1a"
"630","Nod2","Mlf1","Rflnb"
"631","Cdk5r1","Hexim2","Orc2"
"632","Megf11","Cramp1","Sdf2l1"
"633","Ighg3","Kbtbd13","Slc25a17"
"634","Pde11a","Fadd","Snrpb"
"635","Necab3","Dlk1","Gins2"
"636","Misp3","Lrrc39","Sesn1"
"637","Gcnt1","Slc2a2","Coq7"
"638","Zfp493","H3c10","Stk10"
"639","Ston2","Akr1b8","Eif4a1"
"640","4930590J08Rik","Tmem86b","Mrpl42"
"641","Slc7a8","Scamp1","Celf2"
"642","Akt3","Zfp229","Wdr3"
"643","Smim10l2a","Msh5","Mettl16"
"644","Ighv10-1","Efnb3","Epop"
"645","Igkv3-2","Cmc4","Nop9"
"646","Eda2r","Gprc5a","Zbtb21"
"647","Fgd6","Ptpn5","Dis3"
"648","Lrrc6","Zbtb3","Gpr132"
"649","Myh11","Tceal8","Psmd6"
"650","Tasl","Lgalsl","Nsd2"
"651","Klrg2","Or12j2","Ephx1"
"652","Ugt1a7c","Thrb","Trbc1"
"653","Ankrd42","Gtf2ird2","Lsm2"
"654","Igkv6-25","Klra1","Kmt5a"
"655","Akap5","Lamc1","Card11"
"656","Aldh5a1","Rapgef3","Wdr43"
"657","Gpr55","Slit3","Fabp5"
"658","Nudt17","Krt83","Neurl3"
"659","Enthd1","Tpbgl","Chaf1b"
"660","Dnajc28","Tmem144","Ptpn22"
"661","Arhgef17","Kif3c","Dnajb9"
"662","Mbd5","Ptger3","Sri"
"663","Cdc42bpa","Nkpd1","Themis"
"664","Lrp5","Ccdc120","Mrpl45"
"665","C2","Nqo1","Trap1"
"666","H2bc22","Ppfia3","Wsb1"
"667","Efr3b","Usp50","Drg2"
"668","Cfap74","Tbkbp1","Ppp5c"
"669","Nradd","Dip2c","Phf6"
"670","Klra6","Depdc7","Trmt6"
"671","Pank1","Fhit","Usp39"
"672","Dnase1l2","Cox6b2","Cish"
"673","Zfp2","Tbc1d12","Nubp2"
"674","Myo15a","Aph1b","Rbmxl1"
"675","Rbm12b2","Zfp458","Heca"
"676","Ttll11","Spink2","Exo1"
"677","Basp1","Hey1","Heatr3"
"678","Pld2","Frg2f1","Hccs"
"679","Dmxl2","Katnip","Tcp11l2"
"680","Thbs3","Tuba8","Cdc6"
"681","Alms1","B230217C12Rik","Nop56"
"682","Noxa1","Sh3gl3","Txnrd1"
"683","Il1b","Tmem267","Il6ra"
"684","Guca1a","Mucl3","Anxa5"
"685","Bmpr1a","Cnnm2","Pold1"
"686","Pierce2","Arhgef25","Glrx3"
"687","Svip","Cmtr1","Psmc4"
"688","Fes","Gm49405","Isyna1"
"689","Trav7-1","Zscan18","Ugcg"
"690","Grb7","Ptpdc1","Stra6"
"691","Ccl9","Trav7d-4","Fastkd2"
"692","Ift88","1500009L16Rik","Phf20l1"
"693","Zpbp","Tmem198","Timm10"
"694","Clstn3","Sema6b","Psmd13"
"695","Ighv1-18","Scd1","Itga4"
"696","Tmem91","Ctbs","Zdhhc20"
"697","Dhdh","Adcy9","Cacybp"
"698","Nlrc4","S1pr3","Nup54"
"699","Serpinb9b","Crocc","Dhfr"
"700","Gpbar1","Rapsn","Ntmt1"
"701","Dhh","Armcx4","Ccdc86"
"702","Acsbg3","Igf2bp1","Zfp52"
"703","Ikzf5","Cpa2","Nup107"
"704","Milr1","Pros1","Alg8"
"705","Myl10","Wipi1","Rsl1d1"
"706","Cfap157","Cabcoco1","Canx"
"707","Spns3","Lacc1","Polr2e"
"708","Cited4","Cox17","Ifrd2"
"709","Scart1","H2bc9","Epc1"
"710","Chrna2","Chadl","Rcc2"
"711","Zfp563","Tas1r3","Itpa"
"712","Zfp128","Slc24a3","Il7r"
"713","Sh3d19","Dgkh","Got1"
"714","Gzmf","Sardh","Per1"
"715","Epb41l5","Large1","Arid1a"
"716","Gm7324","Glyctk","Phgdh"
"717","Stxbp4","Arfgef3","Nsg2"
"718","Nyap1","Psma8","Gdi1"
"719","Nupr1","Tomt","Snrpa"
"720","Tctn1","Spsb2","Lonp1"
"721","Cnnm4","Trpm4","Vgll4"
"722","Ighv1-15","Gstm5","Zfand2a"
"723","Cdkl4","Pelo","Pja1"
"724","Akr1c12","Apbb1","Rrs1"
"725","Azin2","Bbs2","Cenpa"
"726","Abhd18","Clec4e","Rmdn3"
"727","Morn1","Zfp526","Slc35b2"
"728","Tnni1","Actr3b","Snrnp40"
"729","Pou3f1","Ttll13","Rars"
"730","Palm","Cct6b","Gtpbp2"
"731","Cela1","Cdkl5","Mat2a"
"732","1700010I14Rik","Rfx8","Wdr46"
"733","Mettl21c","Trim69","Blmh"
"734","Ptgr1","Igkv3-12","Gde1"
"735","Lima1","Car8","Vrk3"
"736","Grtp1","Slc39a2","Spc24"
"737","Abcb4","1810009J06Rik","Lyar"
"738","Efhc1","Selp","Gpaa1"
"739","Cep85l","Gpr162","Stk38"
"740","Igkv12-44","Hap1","Dazap2"
"741","Ephb2","Acod1","Rbm14"
"742","S100a1","Cacna1c","Ranbp10"
"743","Fam219a","Crppa","Dedd2"
"744","Vmn2r96","Fbxl19","Pip4k2a"
"745","Poln","Hmgn3","Wdr55"
"746","Ccr1","Map3k9","Memo1"
"747","Awat2","Nhsl2","Dnajb1"
"748","Usp35","Klhl32","Abcf1"
"749","Zfp518b","Liph","Wbp2"
"750","Ahcyl","Slc7a11","Gusb"
"751","Comp","Tmem35a","Mafk"
"752","Gprasp2","Ctif","Tdp1"
"753","Ect2l","Ido1","Txn1"
"754","Rad51c","Oscar","Nme1"
"755","Zfp112","Slc4a5","Tdrp"
"756","Mefv","Mpst","Tmem70"
"757","Lcat","Saxo2","Pitrm1"
"758","Cyp2r1","Pgf","Aifm1"
"759","Cemip2","Exd1","Slfn1"
"760","Mest","Dnaaf3","Cdc25a"
"761","Igkv6-13","Prrt3","Ldb1"
"762","Kcnk6","Col20a1","Mrps2"
"763","Sfxn5","Garin5a","Elavl1"
"764","Rab44","Zswim5","Psmb9"
"765","Tmprss6","Rbpms2","Bltp1"
"766","Trav16d-dv11","Il10","Ppp1r14b"
"767","Sv2a","Jazf1","Cdc42se2"
"768","Tmem255a","Mcoln2","Macf1"
"769","Igkv6-32","Kbtbd7","Tdg"
"770","Scnn1a",NA,"Hspa8"
"771","Pkhd1l1",NA,"Gpcpd1"
"772","Ripor3",NA,"Spout1"
"773","Tns4",NA,"Hspe1"
"774","Atp6v0a1",NA,"Prmt7"
"775","Emp2",NA,"Pcna"
"776","Lgr4",NA,"Wdr12"
"777","Acvr1",NA,"Fbxo5"
"778","Adam1a",NA,"Arrdc1"
"779","Igkv4-57-1",NA,"Gar1"
"780","Gzmm",NA,"Cnot9"
"781","Fut10",NA,"Ehd1"
"782","Kcnab1",NA,"Ifit1bl1"
"783","Adm",NA,"Ssh2"
"784","Oit3",NA,"Cad"
"785","Inppl1",NA,"Naa40"
"786","Rmdn2",NA,"Arhgap25"
"787","Ppfibp2",NA,"Rnps1"
"788","Ica1l",NA,"Sp110"
"789","Slc6a19",NA,"Hbp1"
"790","Slc22a15",NA,"Bin1"
"791",NA,NA,"Hars"
"792",NA,NA,"Ddx20"
"793",NA,NA,"Smarca2"
"794",NA,NA,"Arhgef6"
"795",NA,NA,"Farsa"
"796",NA,NA,"Creld2"
"797",NA,NA,"Sf3b4"
"798",NA,NA,"Spry1"
"799",NA,NA,"Mtap"
"800",NA,NA,"Banf1"
"801",NA,NA,"Fli1"
"802",NA,NA,"Mtrex"
"803",NA,NA,"Rrp15"
"804",NA,NA,"Ero1a"
"805",NA,NA,"Pik3ip1"
"806",NA,NA,"Egr1"
"807",NA,NA,"Anp32e"
"808",NA,NA,"Eif3i"
"809",NA,NA,"Actn1"
"810",NA,NA,"Tmsb10"
"811",NA,NA,"Ubc"
"812",NA,NA,"Pycrl"
"813",NA,NA,"Rae1"
"814",NA,NA,"Cd2"
"815",NA,NA,"Sertad1"
"816",NA,NA,"Lrrc8c"
"817",NA,NA,"Slbp"
"818",NA,NA,"Ctsd"
"819",NA,NA,"Psmb10"
"820",NA,NA,"Uck2"
"821",NA,NA,"Acp1"
"822",NA,NA,"St6galnac4"
"823",NA,NA,"Dck"
"824",NA,NA,"Ppp3cc"
"825",NA,NA,"Chaf1a"
"826",NA,NA,"Chtf18"
"827",NA,NA,"Elof1"
"828",NA,NA,"Grina"
"829",NA,NA,"Erh"
"830",NA,NA,"Itpkb"
"831",NA,NA,"Mrps22"
"832",NA,NA,"Pbk"
"833",NA,NA,"Herpud2"
"834",NA,NA,"Pdk1"
"835",NA,NA,"Cops7a"
"836",NA,NA,"Slc17a9"
"837",NA,NA,"Kif22"
"838",NA,NA,"Tacc1"
"839",NA,NA,"Nudcd1"
"840",NA,NA,"Os9"
"841",NA,NA,"Otud1"
"842",NA,NA,"Cmah"
"843",NA,NA,"Syngr2"
"844",NA,NA,"Chst2"
"845",NA,NA,"Mrto4"
"846",NA,NA,"Mbd3"
"847",NA,NA,"Hras"
"848",NA,NA,"Plp2"
"849",NA,NA,"Pno1"
"850",NA,NA,"1110032F04Rik"
"851",NA,NA,"Wars1"
"852",NA,NA,"Rtcb"
"853",NA,NA,"Pitpnc1"
"854",NA,NA,"Aldoa"
"855",NA,NA,"Orai2"
"856",NA,NA,"Coro1b"
"857",NA,NA,"3110082I17Rik"
"858",NA,NA,"Usp3"
"859",NA,NA,"Ifi214"
"860",NA,NA,"Scml4"
"861",NA,NA,"Eif1a"
"862",NA,NA,"Timm17a"
"863",NA,NA,"Kmt2c"
"864",NA,NA,"Eif3a"
"865",NA,NA,"Elovl1"
"866",NA,NA,"Fxyd5"
"867",NA,NA,"Aunip"
"868",NA,NA,"Arid4b"
"869",NA,NA,"Chd2"
"870",NA,NA,"Prpf19"
"871",NA,NA,"Nr3c1"
"872",NA,NA,"Farsb"
"873",NA,NA,"Il21"
"874",NA,NA,"Mrpl20"
"875",NA,NA,"Ramp1"
"876",NA,NA,"Etv3"
"877",NA,NA,"Ier2"
"878",NA,NA,"Mrpl3"
"879",NA,NA,"Pkp3"
"880",NA,NA,"Sgk1"
"881",NA,NA,"Cisd1"
"882",NA,NA,"Pink1"
"883",NA,NA,"Slc44a2"
"884",NA,NA,"C1qb"
"885",NA,NA,"Tgfbr2"
"886",NA,NA,"Jmjd1c"
"887",NA,NA,"Mndal"
"888",NA,NA,"Gfi1"
"889",NA,NA,"Smyd2"
"890",NA,NA,"Polr2c"
"891",NA,NA,"Mrpl36"
"892",NA,NA,"Pik3r5"
"893",NA,NA,"Stat5a"
"894",NA,NA,"Crabp2"
"895",NA,NA,"Acss2"
"896",NA,NA,"Bri3bp"
"897",NA,NA,"Hyal2"
"898",NA,NA,"Mkrn1"
"899",NA,NA,"Ly6e"
"900",NA,NA,"Brd3"
"901",NA,NA,"Tbl3"
"902",NA,NA,"Nars"
"903",NA,NA,"Rad54l"
"904",NA,NA,"H2-Q5"
"905",NA,NA,"Fkbp1a"
"906",NA,NA,"Tnfaip8l2"
"907",NA,NA,"S1pr4"
"908",NA,NA,"Trnt1"
"909",NA,NA,"Ehd3"
"910",NA,NA,"Cd320"
"911",NA,NA,"Pkmyt1"
"912",NA,NA,"Ecd"
"913",NA,NA,"Gpr18"
"914",NA,NA,"H2az1"
"915",NA,NA,"Ide"
"916",NA,NA,"Coro7"
"917",NA,NA,"Psmd12"
"918",NA,NA,"Sorl1"
"919",NA,NA,"Incenp"
"920",NA,NA,"Tesc"
"921",NA,NA,"Frmd8"
"922",NA,NA,"Ctps2"
"923",NA,NA,"Hrob"
"924",NA,NA,"Ubl3"
"925",NA,NA,"Mrpl12"
"926",NA,NA,"Rin3"
"927",NA,NA,"Iars"
"928",NA,NA,"Agpat5"
"929",NA,NA,"Selenow"
"930",NA,NA,"Phf1"
"931",NA,NA,"Eif3d"
"932",NA,NA,"Arhgef18"
"933",NA,NA,"Birc2"
"934",NA,NA,"Irf7"
"935",NA,NA,"Ddias"
"936",NA,NA,"Prdx3"
"937",NA,NA,"Ccng2"
"938",NA,NA,"Pgp"
"939",NA,NA,"Naa20"
"940",NA,NA,"Mybl2"
"941",NA,NA,"Jagn1"
"942",NA,NA,"H2-M3"
"943",NA,NA,"Zc3h7a"
"944",NA,NA,"Psap"
"945",NA,NA,"Zfp207"
"946",NA,NA,"Scd2"
"947",NA,NA,"Zbp1"
"948",NA,NA,"Znrf2"
"949",NA,NA,"Egr2"
"950",NA,NA,"Pfkl"
"951",NA,NA,"Abhd8"
"952",NA,NA,"Slc28a2b"
"953",NA,NA,"Itk"
"954",NA,NA,"Nup37"
"955",NA,NA,"Pmm1"
"956",NA,NA,"Psma4"
"957",NA,NA,"1810055G02Rik"
"958",NA,NA,"Hacd3"
"959",NA,NA,"Acsl4"
"960",NA,NA,"Aimp2"
"961",NA,NA,"Prdx1"
"962",NA,NA,"Adamts10"
"963",NA,NA,"Ccnb1"
"964",NA,NA,"Parp6"
"965",NA,NA,"Mrps7"
"966",NA,NA,"Rrp8"
"967",NA,NA,"Tnrc6b"
"968",NA,NA,"Gbp6"
"969",NA,NA,"H2-T10"
"970",NA,NA,"Uqcr11"
"971",NA,NA,"Stard7"
"972",NA,NA,"Hcst"
"973",NA,NA,"Tpx2"
"974",NA,NA,"Cdc123"
"975",NA,NA,"Mydgf"
"976",NA,NA,"Poldip2"
"977",NA,NA,"Ggnbp2"
"978",NA,NA,"Mrpl50"
"979",NA,NA,"Mtfr1"
"980",NA,NA,"Mrpl18"
"981",NA,NA,"Gsk3b"
"982",NA,NA,"Fam169b"
"983",NA,NA,"Slc38a2"
"984",NA,NA,"Rab3ip"
"985",NA,NA,"Grap"
"986",NA,NA,"Paxx"
"987",NA,NA,"Hivep3"
"988",NA,NA,"Ngly1"
"989",NA,NA,"Drg1"
"990",NA,NA,"Eef1g"
"991",NA,NA,"Mtarc2"
"992",NA,NA,"Arfip2"
"993",NA,NA,"Rassf2"
"994",NA,NA,"Smad7"
"995",NA,NA,"Mrpl51"
"996",NA,NA,"Irf2bpl"
"997",NA,NA,"Rad51ap1"
"998",NA,NA,"Haus6"
"999",NA,NA,"Rgl2"
"1000",NA,NA,"Trbv13-2"
"1001",NA,NA,"Prkcsh"
"1002",NA,NA,"Xrcc6"
"1003",NA,NA,"Alg3"
"1004",NA,NA,"Csrnp1"
"1005",NA,NA,"Ptprs"
"1006",NA,NA,"Ifnar1"
"1007",NA,NA,"Ccar1"
"1008",NA,NA,"Tlk1"
"1009",NA,NA,"Tk2"
"1010",NA,NA,"Srsf9"
"1011",NA,NA,"Eif1ad"
"1012",NA,NA,"Cd55"
"1013",NA,NA,"Tmem183a"
"1014",NA,NA,"Parp10"
"1015",NA,NA,"Psmb5"
"1016",NA,NA,"Utp6"
"1017",NA,NA,"Ptpn18"
"1018",NA,NA,"Cd300c2"
"1019",NA,NA,"Dlgap4"
"1020",NA,NA,"Capn2"
"1021",NA,NA,"Cdca5"
"1022",NA,NA,"Trbv16"
"1023",NA,NA,"Mrpl49"
"1024",NA,NA,"Cops6"
"1025",NA,NA,"Spata13"
"1026",NA,NA,"Hemk1"
"1027",NA,NA,"Cdkn2d"
"1028",NA,NA,"Smn1"
"1029",NA,NA,"Cd247"
"1030",NA,NA,"Tomm5"
"1031",NA,NA,"Psmc2"
"1032",NA,NA,"Abhd14a"
"1033",NA,NA,"Snu13"
"1034",NA,NA,"Rsl24d1"
"1035",NA,NA,"Mybbp1a"
"1036",NA,NA,"H1f2"
"1037",NA,NA,"Irf4"
"1038",NA,NA,"Sec13"
"1039",NA,NA,"Ubac2"
"1040",NA,NA,"Smim14"
"1041",NA,NA,"Oser1"
"1042",NA,NA,"Zfp281"
"1043",NA,NA,"Ncapg2"
"1044",NA,NA,"Ncaph"
"1045",NA,NA,"Sf3a3"
"1046",NA,NA,"Snrk"
"1047",NA,NA,"Ypel5"
"1048",NA,NA,"Ndufab1"
"1049",NA,NA,"Pcf11"
"1050",NA,NA,"Ctsw"
"1051",NA,NA,"Acad9"
"1052",NA,NA,"Cd52"
"1053",NA,NA,"Smarcc1"
"1054",NA,NA,"Zkscan14"
"1055",NA,NA,"Trim30a"
"1056",NA,NA,"Dtymk"
"1057",NA,NA,"Tle4"
"1058",NA,NA,"Ercc6l"
"1059",NA,NA,"Hirip3"
"1060",NA,NA,"Rere"
"1061",NA,NA,"Septin11"
"1062",NA,NA,"Sema4a"
"1063",NA,NA,"Nup133"
"1064",NA,NA,"Tmem154"
"1065",NA,NA,"Rps27"
"1066",NA,NA,"Mettl1"
"1067",NA,NA,"Tmx1"
"1068",NA,NA,"Nol11"
"1069",NA,NA,"Gbp4"
"1070",NA,NA,"Cpsf2"
"1071",NA,NA,"Ctsz"
"1072",NA,NA,"Api5"
"1073",NA,NA,"Ccnl2"
"1074",NA,NA,"P2ry10"
"1075",NA,NA,"Topbp1"
"1076",NA,NA,"Orc1"
"1077",NA,NA,"Rad18"
"1078",NA,NA,"Tmem50a"
"1079",NA,NA,"Mrtfa"
"1080",NA,NA,"Ddx18"
"1081",NA,NA,"Uckl1"
"1082",NA,NA,"Trat1"
"1083",NA,NA,"Rmi2"
"1084",NA,NA,"Cotl1"
"1085",NA,NA,"Pdlim2"
"1086",NA,NA,"Chchd6"
"1087",NA,NA,"Ubfd1"
"1088",NA,NA,"Utp15"
"1089",NA,NA,"Septin6"
"1090",NA,NA,"Nol9"
"1091",NA,NA,"Pnisr"
"1092",NA,NA,"Eif1ax"
"1093",NA,NA,"Ncbp1"
"1094",NA,NA,"Smim29"
"1095",NA,NA,"Cd7"
"1096",NA,NA,"Clk4"
"1097",NA,NA,"Itga6"
"1098",NA,NA,"Rab37"
"1099",NA,NA,"Mmachc"
"1100",NA,NA,"Arid5a"
"1101",NA,NA,"Ipo7"
"1102",NA,NA,"Il9"
"1103",NA,NA,"Mindy2"
"1104",NA,NA,"Coro1c"
"1105",NA,NA,"Kif18b"
"1106",NA,NA,"Ppcdc"
"1107",NA,NA,"Usp14"
"1108",NA,NA,"Mtpn"
"1109",NA,NA,"Igtp"
"1110",NA,NA,"Ilf2"
"1111",NA,NA,"Pnpla7"
"1112",NA,NA,"Ncor1"
"1113",NA,NA,"Rnaseh2a"
"1114",NA,NA,"Crbn"
"1115",NA,NA,"Far1"
"1116",NA,NA,"Cd47"
"1117",NA,NA,"Nudt1"
"1118",NA,NA,"Fcna"
"1119",NA,NA,"Slamf1"
"1120",NA,NA,"Slain1"
"1121",NA,NA,"Crip2"
"1122",NA,NA,"Mrps12"
"1123",NA,NA,"Arap2"
"1124",NA,NA,"Armc7"
"1125",NA,NA,"Znrd2"
"1126",NA,NA,"Lax1"
"1127",NA,NA,"BC055324"
"1128",NA,NA,"Polr2h"
"1129",NA,NA,"Pias1"
"1130",NA,NA,"Ift80"
"1131",NA,NA,"Glrx5"
"1132",NA,NA,"Apbb1ip"
"1133",NA,NA,"Gabarap"
"1134",NA,NA,"Slc25a1"
"1135",NA,NA,"Tent5c"
"1136",NA,NA,"E2f6"
"1137",NA,NA,"Pebp1"
"1138",NA,NA,"Crebrf"
"1139",NA,NA,"Pafah1b2"
"1140",NA,NA,"Hgh1"
"1141",NA,NA,"Hps3"
"1142",NA,NA,"Mtx2"
"1143",NA,NA,"Flt3l"
"1144",NA,NA,"Kpnb1"
"1145",NA,NA,"BC147527"
"1146",NA,NA,"Il17ra"
"1147",NA,NA,"Atp6v1d"
"1148",NA,NA,"Syf2"
"1149",NA,NA,"Fh1"
"1150",NA,NA,"Trappc13"
"1151",NA,NA,"Dcaf11"
"1152",NA,NA,"Csk"
"1153",NA,NA,"Srsf1"
"1154",NA,NA,"Kmt5b"
"1155",NA,NA,"Rpp25"
"1156",NA,NA,"Lman1"
"1157",NA,NA,"Ptges3"
"1158",NA,NA,"Ndufa12"
"1159",NA,NA,"Ccdc58"
"1160",NA,NA,"Psmg3"
"1161",NA,NA,"Bub3"
"1162",NA,NA,"Tcerg1"
"1163",NA,NA,"Gemin6"
"1164",NA,NA,"Ipcef1"
"1165",NA,NA,"Dock10"
"1166",NA,NA,"Bhlhe40"
"1167",NA,NA,"Vdac2"
"1168",NA,NA,"Timm13"
"1169",NA,NA,"Ak4"
"1170",NA,NA,"Sfxn3"
"1171",NA,NA,"Ccni"
"1172",NA,NA,"Hpgd"
"1173",NA,NA,"Chek1"
"1174",NA,NA,"Dnajb4"
"1175",NA,NA,"Tmem64"
"1176",NA,NA,"Syce2"
"1177",NA,NA,"Elac2"
"1178",NA,NA,"Spata6"
"1179",NA,NA,"Bcat1"
"1180",NA,NA,"Mrpl19"
"1181",NA,NA,"Pea15a"
"1182",NA,NA,"Abi1"
"1183",NA,NA,"Gtf2e2"
"1184",NA,NA,"Samd9l"
"1185",NA,NA,"Pdlim4"
"1186",NA,NA,"Vdac3"
"1187",NA,NA,"Usp10"
"1188",NA,NA,"Ly6c1"
"1189",NA,NA,"Sptbn1"
"1190",NA,NA,"Pycr2"
"1191",NA,NA,"Nup155"
"1192",NA,NA,"Tmc6"
"1193",NA,NA,"Wdr36"
"1194",NA,NA,"Mfsd10"
"1195",NA,NA,"Syncrip"
"1196",NA,NA,"Supv3l1"
"1197",NA,NA,"Suv39h1"
"1198",NA,NA,"Bcl10"
"1199",NA,NA,"Rcc1l"
"1200",NA,NA,"Treml2"
"1201",NA,NA,"Il1rn"
"1202",NA,NA,"Ifi203"
"1203",NA,NA,"Dph6"
"1204",NA,NA,"Larp4"
"1205",NA,NA,"Herc2"
"1206",NA,NA,"Kmt2a"
"1207",NA,NA,"Snrpd1"
"1208",NA,NA,"Nsun5"
"1209",NA,NA,"Rbm28"
"1210",NA,NA,"Ccl5"
"1211",NA,NA,"Xaf1"
"1212",NA,NA,"Cd84"
"1213",NA,NA,"Acy1"
"1214",NA,NA,"Rictor"
"1215",NA,NA,"Mrpl1"
"1216",NA,NA,"Gmfg"
"1217",NA,NA,"Ghitm"
"1218",NA,NA,"Ddost"
"1219",NA,NA,"Nt5dc2"
"1220",NA,NA,"Psmc5"
"1221",NA,NA,"Mrpl47"
"1222",NA,NA,"Kif20a"
"1223",NA,NA,"Mta3"
"1224",NA,NA,"Mlf2"
"1225",NA,NA,"Eea1"
"1226",NA,NA,"Pole"
"1227",NA,NA,"Plekhg2"
"1228",NA,NA,"Ifi47"
"1229",NA,NA,"Ltv1"
"1230",NA,NA,"Psma1"
"1231",NA,NA,"Lars"
"1232",NA,NA,"Eif4enif1"
"1233",NA,NA,"Chchd2"
"1234",NA,NA,"Nlrc5"
"1235",NA,NA,"Fam78a"
"1236",NA,NA,"Dtx3l"
"1237",NA,NA,"Zmpste24"
"1238",NA,NA,"Crtc3"
"1239",NA,NA,"Ifi206"
"1240",NA,NA,"AW209491"
"1241",NA,NA,"Mia3"
"1242",NA,NA,"C1qa"
"1243",NA,NA,"Tmem71"
"1244",NA,NA,"Pnrc2"
"1245",NA,NA,"Mppe1"
"1246",NA,NA,"Cops7b"
"1247",NA,NA,"Mrpl38"
"1248",NA,NA,"Il10rb"
"1249",NA,NA,"Mdp1"
"1250",NA,NA,"Acot2"
"1251",NA,NA,"Eef1aknmt"
"1252",NA,NA,"Nudt19"
"1253",NA,NA,"Pola1"
"1254",NA,NA,"Leo1"
"1255",NA,NA,"Atf7ip"
"1256",NA,NA,"Slc35f2"
"1257",NA,NA,"Ikzf1"
"1258",NA,NA,"Arl4a"
"1259",NA,NA,"Asap1"
"1260",NA,NA,"Plk1"
"1261",NA,NA,"Psmg2"
"1262",NA,NA,"Pnpt1"
"1263",NA,NA,"Siah2"
"1264",NA,NA,"Baz2a"
"1265",NA,NA,"Uchl3"
"1266",NA,NA,"Ikbkb"
"1267",NA,NA,"Dlgap5"
"1268",NA,NA,"Tmem165"
"1269",NA,NA,"Mylip"
"1270",NA,NA,"Treml4"
"1271",NA,NA,"Shq1"
"1272",NA,NA,"Thoc3"
"1273",NA,NA,"Retreg1"
"1274",NA,NA,"Ing3"
"1275",NA,NA,"Cdca3"
"1276",NA,NA,"Pspc1"
"1277",NA,NA,"Stat1"
"1278",NA,NA,"Ppp3ca"
"1279",NA,NA,"Brix1"
"1280",NA,NA,"Eme1"
"1281",NA,NA,"Spacdr"
"1282",NA,NA,"Bckdk"
"1283",NA,NA,"Gpsm3"
"1284",NA,NA,"Psma7"
"1285",NA,NA,"Plaat3"
"1286",NA,NA,"Ppp1r12a"
"1287",NA,NA,"Riox2"
"1288",NA,NA,"Smpdl3a"
"1289",NA,NA,"Otud6b"
"1290",NA,NA,"Wdr31"
"1291",NA,NA,"Slc35b3"
"1292",NA,NA,"Cenpm"
"1293",NA,NA,"Thyn1"
"1294",NA,NA,"Fbl"
"1295",NA,NA,"Supt16"
"1296",NA,NA,"Slc25a5"
"1297",NA,NA,"Ppp1r13b"
"1298",NA,NA,"Slc25a10"
"1299",NA,NA,"Ppm1h"
"1300",NA,NA,"Nob1"
"1301",NA,NA,"Filip1l"
"1302",NA,NA,"Etv6"
"1303",NA,NA,"Adarb1"
"1304",NA,NA,"Ap1s1"
"1305",NA,NA,"Phlda3"
"1306",NA,NA,"Sephs1"
"1307",NA,NA,"Def6"
"1308",NA,NA,"Rpp30"
"1309",NA,NA,"Nop14"
"1310",NA,NA,"Foxm1"
"1311",NA,NA,"Kdelr2"
"1312",NA,NA,"Poglut2"
"1313",NA,NA,"Id2"
"1314",NA,NA,"Hsd11b1"
"1315",NA,NA,"Sh3gl1"
"1316",NA,NA,"Gtpbp4"
"1317",NA,NA,"Dpagt1"
"1318",NA,NA,"Cycs"
"1319",NA,NA,"Psmb7"
"1320",NA,NA,"Mtch2"
"1321",NA,NA,"Grap2"
"1322",NA,NA,"Zfp706"
"1323",NA,NA,"Ube2c"
"1324",NA,NA,"Cd3eap"
"1325",NA,NA,"Fem1c"
"1326",NA,NA,"Gba"
"1327",NA,NA,"Slco2b1"
"1328",NA,NA,"Cdc16"
"1329",NA,NA,"Fam162a"
"1330",NA,NA,"Spic"
"1331",NA,NA,"Tmsb4x"
"1332",NA,NA,"Gstt2"
"1333",NA,NA,"Psmb8"
"1334",NA,NA,"Rb1cc1"
"1335",NA,NA,"Gtf2h4"
"1336",NA,NA,"Pik3cd"
"1337",NA,NA,"Mthfd1l"
"1338",NA,NA,"Nup43"
"1339",NA,NA,"Scp2"
"1340",NA,NA,"Fubp1"
"1341",NA,NA,"Crebbp"
"1342",NA,NA,"Mcmbp"
"1343",NA,NA,"Rnaseh2b"
"1344",NA,NA,"Rabac1"
"1345",NA,NA,"Tnfaip1"
"1346",NA,NA,"Dhrs7"
"1347",NA,NA,"Cd28"
"1348",NA,NA,"Ifi208"
"1349",NA,NA,"Ddx28"
"1350",NA,NA,"Wdr5"
"1351",NA,NA,"Srpr"
"1352",NA,NA,"Ccnf"
"1353",NA,NA,"Hmgn1"
"1354",NA,NA,"Polr2f"
"1355",NA,NA,"Tgif1"
"1356",NA,NA,"Pop1"
"1357",NA,NA,"Tsr1"
"1358",NA,NA,"Pacs1"
"1359",NA,NA,"Ensa"
"1360",NA,NA,"Snrpd2"
"1361",NA,NA,"Slc12a7"
"1362",NA,NA,"Pfas"
"1363",NA,NA,"Vipr1"
