"","Har24hVsNaive_unique","NoHar24hVsNaive_unique","Har24hVsNaive_NoHar24hVsNaive_intersection"
"144","Ddx3y","Golga4","Nsun2"
"145","Erap1","Trpm7","Cd96"
"146","Ext1","Mapkapk2","Add3"
"147","Ilf3","Abl1","Gimap3"
"148","Rsbn1","Nab1","Il16"
"149","Cdc23","Gnptg","Metap2"
"150","Trmt11","Trim11","Pold3"
"151","Borcs8","Mcu","Bysl"
"152","Mto1","Zdhhc13","Cct8"
"153","Sptlc2","Tvp23b","Nup93"
"154","Lmf2","Bdh1","Rnf167"
"155","Etaa1","Tnks2","Cdc45"
"156","Pmf1","Pdzd11","Rfc5"
"157","Sart3","Nudt16","Ccnl1"
"158","Ddi2","Gss","Cct3"
"159","Asb2","Ttc3","Ddx39a"
"160","Sh3bgrl","Lamtor2","Atp5b"
"161","Rnf113a2","Fam120b","Cyp51"
"162","Tmf1","Coa7","Rapgef6"
"163","Ccdc71l","Snapin","Ldha"
"164","Ttc27","Tmem208","Rrp1b"
"165","Ei24","Imp3","Lef1"
"166","St7l","Golgb1","Timm50"
"167","Pigx","Sfi1","S1pr1"
"168","Ermn","Uqcrb","Psmd2"
"169","A630001G21Rik","Mcrip1","Ifi213"
"170","Ccdc134","Btbd6","Bin2"
"171","Tbc1d1","Ctnnb1","Id3"
"172","2310061I04Rik","Lamtor3","Klf3"
"173","Vav1","Fubp3","Ifngr1"
"174","Tomm7","Slc25a22","Il12rb1"
"175","Cklf","Rcor1","Bsg"
"176","Tor1aip1","Slamf7","Rhoh"
"177","Atp6v0d1","Axin1","Nop16"
"178","Zeb1","Fmr1","Hnrnpa1"
"179","Trub1","Gabarapl1","H2-Q6"
"180","Phf8","Trappc6a","Acp5"
"181","Surf1","Zscan21","Akap13"
"182","Zc3h12a","Fbh1","Rcl1"
"183","Setd4","Eya3","Prpf31"
"184","Lims1","Lsm11","Pum3"
"185","Ostm1","Pfdn2","Tap2"
"186","Cep20","Tbx21","Abcf2"
"187","Zbtb7b","Sp2","Vdac1"
"188","Lpxn","Prkdc","Ssrp1"
"189","Spidr","Acly","Eif4h"
"190","H1f0","Vopp1","Lad1"
"191","Glipr2","Otud7b","Ppan"
"192","Krcc1","Pskh1","Entrep3"
"193","Dnajb12","Shc1","Mcl1"
"194","Zfp280b","Dido1","Hnrnpab"
"195","Ubald2","Tnip2","Zc3hav1"
"196","Naa35","Klf10","Kpna2"
"197","Impa2","Cdc25b","Gmps"
"198","Fcho1","Stradb","Ruvbl1"
"199","Ints10","Rnpepl1","Emp3"
"200","Mrpl14","Casp2","Rfc4"
"201","Miga1","Rad23b","Foxo1"
"202","2510002D24Rik","Tmem201","Acot7"
"203","Slc35b4","Klhl26","Ccna2"
"204","Tmem129","Man2c1","Ctps"
"205","Ctc1","Zcchc10","Lta"
"206","Jak2","Washc4","Slc29a1"
"207","6430571L13Rik","Snrnp48","Idh3a"
"208","Arhgap12","Ankhd1","Nap1l1"
"209","Tlk2","Reep3","Ezh2"
"210","Zcwpw1","1110059E24Rik","Eif3c"
"211","Hikeshi","Ralgapb","Nhp2"
"212","Galm","Bet1l","G3bp1"
"213","Wsb2","Bpifc","Fos"
"214","Dnaaf5","Calcrl","Eif4e"
"215","Smpd1","B3gat3","Marcksl1"
"216","Stx7","Gba2","Gars"
"217","Sgk3","Antkmt","Mcm4"
"218","Ptcd1","Vps29","Psma6"
"219","Rabepk","Mrps11","Sell"
"220","Ublcp1","Vax2","Tubg1"
"221","Smim10l1","Mmp11","Prim1"
"222","Hipk3","Hipk1","Gart"
"223","Eci2","Ippk","Rab8b"
"224","Dclre1c","Gemin2","Tecpr1"
"225","Ung","Zfp820","Ms4a6b"
"226","Tfdp2","Atraid","Cd3g"
"227","Ak1","Tia1","Ddx56"
"228","Mthfsd","Pik3c3","Cct2"
