"","Har96hVsNaive_unique","NoHar96hVsNaive_unique","Har96hVsNaive_NoHar96hVsNaive_intersection"
"74","Hspd1","Resf1","Cd200"
"75","Ctps","Ctcf","Pfkl"
"76","Rbmxl1","Kars","Irf1"
"77","Tmem14c","Plin3","Tubb4b"
"78","Zc3h7a","Ntrk3","Jakmip1"
"79","Use1","Ostf1","Cks1b"
"80","Ndufa1","Stx7","B4galnt1"
"81","Mis18a","Grk6","Cdkn1a"
"82","Mrps2","Pcgf5","Cdca8"
"83","Ddit3","Trbv31","Tspan3"
"84","Tafazzin","Aebp2","H2-Q7"
"85","Morf4l2","Cds2","Tent5a"
"86","Gtpbp2","Reep5","Gzmb"
"87","Bcl2","Prpf4b","Otulinl"
"88","Ppp1r12a","Ppcdc","Sp100"
"89","Brd3","Lipe","Dusp5"
"90","Ak3","Ciapin1","Tfrc"
"91","Tardbp","Tpd52","Pim2"
"92","Lsm2","Ech1","Eif1"
"93","Crbn","Rrp1b","Prelid1"
"94","Pacs1","Stat5a","Socs2"
"95","Umps","Ankrd10","Mtch1"
"96","Smarcc1","Setd5","Zc3h12d"
"97","Sf3b5","Plekha2","Gpi1"
"98","Gart","Tor4a","Slc25a4"
"99","Rabggta","Aspscr1","Bub1b"
"100","Lsm4","Pqlc3","Cyp51"
"101","Tubgcp2","Trappc4","Kif22"
"102","Mrpl42","Sharpin","Gimap6"
"103","Chaf1b","Fuca1","Pclaf"
"104","Atp5j","Rora","Prdx2"
"105","Thoc3","Eva1b","Fos"
"106","Lad1","Desi1","Aurkb"
"107","Prmt5","Txnrd1","Eif4a2"
"108","Arl6ip4","Dctn3","H2-K1"
"109","Camk2d","Pbrm1","Aldoa"
"110","Ndufa8","Dnajc10","Dut"
"111","Eftud2","Rasgrp1","Ppil1"
"112","Kpna3","Pmp22","Tcf7"
"113","Dpp4","Ssr1","Ybx3"
"114","Eipr1","Tmbim4","Elf1"
"115","Atp5o","Anxa7","Irs2"
"116","Man1a","Acox3","Rbbp7"
"117","Fam3c","Hacd3","Add3"
"118","Mrpl49","Stat3","Ube2c"
"119","Psmd12","Il22","Tagap"
"120","Reep4","Meltf","Adap1"
"121","Fosl2","Mthfd2","Fabp5"
"122","Lyst","Luc7l","Fyn"
"123","Pih1d1","Pnn","Mad2l1"
"124","Fbxo9","Mfsd14a","Fzr1"
"125","Dnajb2","Mapre2","Mif"
"126","Spata6","D16Ertd472e","Impa2"
"127","Tnfrsf1a","Psmd8","Foxo1"
"128","Akr1c12","Neu1","Ero1a"
"129","Uqcr10","Tut1","Rnf167"
"130","Gcsh","Gla","Gstt2"
"131","Snrpd1","Rabgap1l","Rfc5"
"132","Bysl","Ypel3","Anxa2"
"133","Lmf2","Ugp2","Cdca3"
"134","Csn2","Ube2h","Cdca7"
"135","Ubald2","Csnk1g2","Klf3"
"136","Mrpl36","Bbc3","Kbtbd2"
"137","P2rx4","Chic2","Gramd1a"
"138","Serpina3g","Dynlt3","Ppt1"
"139","Med13l","Sirt2","Sh3kbp1"
"140","Snrpe","Smim3","Pfkp"
"141","Mre11a","Ppp1r3b","Itgb7"
"142","Ebp","Gpr171","Fignl1"
"143","Dennd1b","Hao1","Dapl1"
"144","Smurf1","Abcc9","Ncapd2"
"145","Acadm","Cst3","Ier2"
"146","Stat4","Trbv1","Cdk6"
"147","Gnal","Bzw2","Mpp1"
"148","Tmem167","Slamf7","Cdc45"
"149","Nutf2","Vhl","Fam162a"
"150","Mthfd1","Pank4","Sqstm1"
"151","Med20","Nos2","Ccdc88c"
"152","Bsdc1","Eif1a","Tpx2"
"153","Slc35d2","Mgst2","Acot7"
"154","Pmf1","Htatsf1","Rhoh"
"155","Mdm4","Irf2bp2","Vps37b"
"156","Aldh16a1","Flt3l","Cndp2"
"157","Ndufs6","Tex2","Fyb"
"158","Setx","Trbv2","Smc2"
"159","Mier1","Abhd17b","Cdk1"
"160","Ift27","Uba3","Gtse1"
"161","Nts","Milr1","Plp2"
"162","Rnf2","Mad2l2","Tgif1"
"163","Pycrl","Eif4ebp2","Ccr4"
"164","Gucd1","Nagk","Hmgb2"
"165","Lamtor1","Rinl","Eif5a"
"166","Lzic","Oxnad1","Tnfrsf13b"
"167","Paxip1","Mbp","Tcp11l2"
"168","Timm13","Leo1","Mxi1"
"169","Gpr18","Batf","Hdgf"
"170","Taf6","Slc30a9","Atp1b3"
"171","Ralgps2","Mtch2","Vamp2"
"172","Anapc13","Mynn","Ccnb1"
"173","Gfm1","Malt1","Cdc34"
"174","Stxbp3","Porcn","Ptprc"
"175","Ciao2a","Furin","Mafk"
"176","Nucks1","Atosb","Asf1b"
"177","Tomm7","Hmgn2","Nup85"
"178","Exosc8","Gpd2","Tipin"
"179","Smpd4","Foxn3","Prdx4"
"180","Rpp25","Slc20a1","Rasgrp2"
"181","Mxd1","Plekhf2","Gtf2i"
"182","Tbl3","Ifitm3","Nfkbid"
"183","Pigh","Eloa","Ruvbl2"
"184","Bloc1s2","Tmem184b","S100a6"
"185","Ccser2","Fam53b","Ran"
"186","Dctn6","Fdx1","Dlgap5"
"187","Vangl1","Arfgap3","Agpat3"
"188","Gmfg","Dhx9","Egr1"
"189","Hexa","Fgf13","Plk1"
"190","Gins4","Sdcbp2","Sae1"
"191","Lrrc32","Pomp","Egln1"
"192","Traf3ip2","Gnpda2","Mycbp2"
"193","Rpp14","Crebzf","Ccr7"
"194","Trim25","Dus3l","Shmt1"
"195","Parp1","Ttc14","Evl"
"196","Utp6","Thrap3","Tkt"
"197","E2f2","Mapk3","Dtl"
"198","Smg6","Pknox1","Ddx1"
"199","Myb","Tcf12","Crlf3"
"200","Pramel12","S1pr2","Arl5c"
"201","Thap7","Myo10","Capg"
"202","Tgfbr3","Plscr3","Gap43"
"203","Unc45a","Cstb","Ccnb2"
"204","Eci1","Cmtm7","Rfc4"
"205","Padi2","Sema4f","Aaas"
"206","Wdr4","Nucb2","Pcx"
"207","Tssc4","Copg2","4930523C07Rik"
"208","Trim9","Ldah","Klf13"
"209","Abi3bp","Arhgap18","Srsf5"
"210","Mrps12","Arrb1","Paics"
"211","Zup1","Safb2","Acsl4"
"212","Ncapd3","Pold4","Cd69"
"213","Prickle3","Cabin1","Sdf2l1"
"214","Tdg","Gsr","Fads2"
"215","Rb1cc1","Erlin2","Il27ra"
"216","Nol12","Tspan5","Tnfrsf18"
"217","Cox6c","Acadsb","Gmnn"
"218","Tlr5","Fuca2","Trib2"
"219","Mtx2","Arhgef10","Rpn1"
"220","Nme1","Trpm7","Nr4a1"
"221","Psmg2","Plek","Il7r"
"222","Timeless","Dysf","Selenop"
"223","Pfdn6","Slc25a20","Nfkbiz"
"224","Camta2","Mettl21a","Ecm1"
"225","Cenpo","Kctd2","Acp5"
"226","Rasa2","Wdr48","Lef1"
"227","Dalrd3","Rap1gds1","Srm"
"228","Myg1","Phkg2","Nusap1"
"229","Rlim","Rabepk","Ncaph2"
"230","Zcchc18","Dennd3","Tuba1c"
"231","Dgke","B9d2","Lat"
"232","Lemd2","Pik3ap1","Slc16a3"
"233","Gucy1a1","Col5a3","Psat1"
"234","Dip2b","Tbxa2r","E2f1"
"235","Mgme1","Dhx40","Slamf1"
"236","Epb41","Cebpz","Tcf19"
"237","Fkbp15","Erp29","Ube2q2"
"238","Zdhhc16","Cyp2s1","Macroh2a1"
"239","Rassf1","Aatf","Ckb"
"240","St3gal1","Prrc1","Hspa5"
"241","Lsm3","Itgav","Arhgap45"
"242","Eif4enif1","Ankrd13c","Nup62"
"243","Kidins220","S100a11","Tob1"
"244","Tead1","Abt1","Rapgef6"
"245","H4c9","Mark3","Dock8"
"246","Golga4","Adam15","Itpr2"
"247","St7l","Ahcyl1","Acat2"
"248","Inpp5d","Fbxo28","Ets1"
"249","Irgm1","Kbtbd11","H2-T22"
"250","Klk8","Mtmr9","Phf1"
"251","Dcaf5","Dguok","Gcat"
"252","Pole2","Phb","Rnf19b"
"253","Mrps21","Ephb6","Prim1"
"254","Eloc","Stx12","Zbtb21"
"255","Ncoa4","Stoml1","Nudcd2"
"256","Ubap2","Zfp277","Siah2"
"257","Alg3","Oga","Akap8l"
"258","Pus7","Rcan3","Rgs14"
"259","Dmac2","Sh3bgrl","Pik3r1"
"260","Slc25a38","Sdf2","Ppp2r5a"
"261","Stat2","Man2a2","Tcp1"
"262","Hirip3","Itk","Ndrg3"
"263","Zbtb38","Sfpq","Cd27"
"264","Klhl5","Mef2a","Utrn"
"265","Ulk2","Gad1","Pgm1"
"266","Brwd1","Xxylt1","Batf3"
"267","Xrcc2","Marveld1","Eif4h"
"268","Nudt4","Aff3","Incenp"
"269","Fam118a","Zbtb7c","Eri1"
"270","Ftsj1","Bend5","Rpa2"
"271","Pdap1","Rabgef1","Higd1a"
"272","Ppm1j","Pik3r2","Psmd1"
"273","Mrpl27","Galns","Nsg2"
"274","Tfb2m","Atxn7l3b","Saraf"
"275","Mecr","Psen2","Cmah"
"276","Atp8b4","Ptov1","Metap2"
"277","Gzmf","Galm","Cited2"
"278","C1galt1","Pts","Entrep3"
"279","Tle1","Trib3","Prc1"
"280","Ifi30","Cd93","Pecam1"
"281","Plcg1","Creb1","Chd3"
"282","Ifrd2","Acox1","Got2"
"283","Bcap29","Commd10","Noc4l"
"284","Hikeshi","Igsf8","Zfp36l2"
"285","Tamm41","Kdm2a","Tubg1"
"286","Mrpl12","Mphosph6","Cd81"
"287","Abr","Mlycd","Sik1"
"288","Mctp2","Plekho2","Txk"
"289","Ap5z1","Nags","Rbpj"
"290","Apex2","Mxd4","Ccng1"
"291","Crlf2","Mtmr14","H1f0"
"292","Stap1","Sema3b","Pik3ip1"
"293","Skil","Pik3cd","Pdk3"
"294","Gpr89","Rnf34","Traf5"
"295","Slc35g1","Mad2l1bp","Ophn1"
"296","Cbx2","Prrc2b","Rcc1"
"297","Lmnb2","Tmem131l","Mov10"
"298","Cnst","Zfp638","Cd37"
"299","Zbtb48","Erbin","Sqle"
"300","Cfap91","Plcl2","Zc3hav1"
"301","Gpatch2l","Dlat","Nrn1"
"302","Ccdc174","Zswim7","Ghitm"
"303","Mrpl16","Zbtb11","Dnajb1"
"304","Mecp2","Svil","Cbx4"
"305","Polr2j","Cox15","Arhgef18"
"306","Swt1","Pdzd11","Gnpda1"
"307","Abcd4","Arfgef3","Egln3"
"308","Fam118b","Odad4","Ugcg"
"309","Hipk1","Eif2ak2","Rps27l"
"310","Ubox5","Uqcrq","Ndc80"
"311","Appl2","Cln3","Jak1"
"312","Irf6","Gstm4","Lipa"
"313","Slc26a10","Armc8","Dnajb9"
"314","Nup153","Lsm10","Tomm40"
"315","Obi1","Msra","Septin1"
"316","Chchd10","Tmem80","Scarb1"
"317","Wdr44","Bpifc","Dyrk2"
"318","Cmss1","Wdr13","Pip4k2a"
"319","Ibtk","Sacm1l","Rad51"
"320","Sidt2","Mfhas1","Spcs3"
"321","Hivep1","Rnf139","Lmnb1"
"322","Pelp1","Vwa8","Nde1"
"323","Maml2","Ccnc","Bub3"
"324","Acbd5","Slc66a1","Als2cl"
"325","Vav3","Qki","Gale"
"326","Npnt","Alg2","Slc39a6"
"327","Csrnp2","Pus10","Rrad"
"328","Akap10","Atg16l1","Ift57"
"329","Acsl1","Morc3","Sgms1"
"330","Ttc19","Ticam1","Dbi"
"331","Pars2","Slc35a2","Ncaph"
"332","Psme2b","Tspan4","Ifrd1"
"333","Enpp4","Fndc3a","Sema4a"
"334","Xpo5","Aqr","Plin2"
"335","Ssh1","Ccnt2","Siva1"
"336","Adar","Hamp","Psmd2"
"337","Letm2","Cux1","Timd2"
"338","Braf","Myof","Rfc2"
"339","Gucy1b1","Scrt1","Vldlr"
"340","Zfp687","Ripk2","Epc1"
"341","Pigyl","Bnip5","Il12rb1"
"342","Knop1","Rhoc","Stom"
"343","Derl3","Sgsh","Foxm1"
"344","Lancl2","Gatad2b","Slc28a2"
"345","Frmd4b","Rnf41","Tmem109"
"346","Plekhn1","Itfg2","Hspa9"
"347","Plxna1","Ipo7","Tubb2a"
"348","Tmem238","Otud7b","Pold3"
"349","Pex7","Trbv19","Canx"
"350","Kat6b","Slc4a7","Arhgdig"
"351","Mfsd2b","Pgap6","Zfand2a"
"352","Ddx19a","Cep164","Pmpca"
"353","Klhl32","Lactb2","Glipr2"
"354","1810009J06Rik","Ebag9","Hmgcs1"
"355","Prorsd1","Pim1","Gsto1"
"356","Ormdl2","Mfap1a","Xpnpep1"
"357","Il18","Abca7","Ifi214"
"358","Atosa","Creb3l2","Rab3ip"
"359","Wdr6","Stimate","Ap2s1"
"360","Fst","Luc7l2","Nup93"
"361","Epm2aip1","Pum2","Stra6"
"362","Atp1a3","Slc25a24","Pole3"
"363","Selenoi","Arid5b","Aurka"
"364","Mrpl47","Prorp","Pola2"
"365","Platr25","Tmem199","Tyms"
"366","Fstl4","Flywch1","Cisd1"
"367","Car8","Sfswap","Marchf7"
"368","Naa38","Ankrd16","Spc24"
"369","Dcp1a","Lfng","Kif20a"
"370","Pibf1","Rbm38","Dgka"
"371","Gpatch2","Gyg","Arhgef1"
"372","Lyar","Arglu1","Bnip3"
"373","Hopx","Oxsr1","Cirbp"
"374","Mindy1","Vps29","Mapkapk3"
"375","Tada2a","Jak3","Nrbp1"
"376","Tti1","Alg1","Ermn"
"377","H3c2","Trbv14","H2ax"
"378","Kri1","Ecpas","Scml4"
"379","Cyp4v3","Abcd3","Cdk2"
"380","Pacs2","Bpgm","Prnp"
"381","Rrm2b","Cpsf7","Stx11"
"382","Dnaja4","Gnb4","Skap1"
"383","Klhl36","Armt1","Vgll4"
"384","Exoc8","Mpc1","Arhgap4"
"385","Il18r1","Arid1b","Ahcy"
"386","Zfp707","Cbll1","Lmbr1l"
"387","Slc2a2","Gss","Slc25a39"
"388","Tbck","Parp16","Actn1"
"389","Usp44","Slf2","Ak2"
"390","Kdm8","Fam120a","Galnt10"
"391","Lysmd3","Sytl3","Wsb1"
"392","Ar","Kif3b","Srpk1"
"393","Ppp2r5b","Pard6a","Casp3"
"394","Neurl4","Myo16","Tmem256"
"395","Glis3","Ndor1","Macf1"
"396","Med12","P2rx7","Cyb5b"
"397","Hmcn2","Trim14","Cct6a"
"398","Lzts1","Numb","Per1"
"399","Ccdc163","Galc","Ube2m"
"400","Trim10","Nars2","Prdx6"
"401","Ampd2","Fbxo7","Gfi1"
"402","Zfp282","Fam102a","Tacc1"
"403","Phactr2","Aldh18a1","Cpne6"
"404","Timm8a1","Evi5l","Slc49a4"
"405","Fndc10","Creld1","Arhgap15"
"406","Maf","Htra2","Lpcat3"
"407","Rec8","Sbno2","Pgls"
"408","Brf2","Btbd7","Tpm4"
"409","Fchsd1","Nkain1","Foxp1"
"410","Nupl2","Stag1","Ap1s1"
"411","Anks1","Zer1","Slc2a1"
"412","Hyi","Oas3","Runx1"
"413","Nfrkb","H2-Q2","Cs"
"414","Gpatch11","Dnmt3a","Ly6a"
"415","Calhm2","Secisbp2","Tnfrsf9"
"416","Rbp1","Fam114a1","Kif18b"
"417","Sergef","Dennd6a","Coro2a"
"418","Tns4","Sp1","Tgm2"
"419","Zfp930","Nemp2","Cdca2"
"420","Zcchc3","Armcx3","H2az1"
"421","Prlr","Eef2k","Sit1"
"422","Rusc1","Gcnt2","Rbm39"
"423","Pcnx3","Taf1c","Dtx1"
"424","Ptk2","Ap1s2","P4hb"
"425","Il18bp","Gfpt1","Gars"
"426","Acsf3","Pan2","Mms22l"
"427","Mterf4","Ccr5","Gpr132"
"428","Rps6ka3","Nadk2","Shmt2"
"429","Sdr39u1","Sec22c","Cdc42se2"
"430","Siah1b","Dhx58","Gpcpd1"
"431","Shtn1","Gbp5","Cd7"
"432","Slc25a30","Rnf123","Stoml2"
"433","Fam78b","Larp4","Bcl2l1"
"434","Otx1","Upf2","Nsd2"
"435","Mocs1","Pak6","Gins2"
"436","Trgc4","Mief2","Prpf31"
"437","Zfp157","Zscan29","Cdca5"
"438","Naaladl1","Cep19","Mvd"
"439","Usp42","Notch2","Ptpn1"
"440","Ap4e1","Mbip","Adprh"
"441","Klhl28","Tsr2","Bhlhe40"
"442","Armc6","Slc66a2","Sap30"
"443","Casp1","Drosha","Selenoh"
"444","Nanos1","Zfp9","Mfsd10"
"445","Kifc5b","Stard10","Il6ra"
"446","Hsd17b11","Frmd6","Rcsd1"
"447","Zfp850","Ep300","Ankrd11"
"448","Rnasel","Tuba8","Anp32e"
"449","Dzip3","Nfix","Rasa3"
"450","BC049762","Ahi1","Vax2"
"451","Trim30d","Zfp180","Tk1"
"452","Ulbp1","Agpat2","Mrpl45"
"453","Slc12a2","Zfp260","6430571L13Rik"
"454","Tsen2","Decr1","Rtn3"
"455","Ccser1","Dleu7","Trim26"
"456","H1f1","Xlr4b","Ikbkb"
"457","Aste1","Kdm6a","Trip13"
"458","Sfn","Habp4","Ranbp10"
"459","Itprid2","Arhgap10","Ctss"
"460","Dcbld1","Pde4a","Prelid2"
"461","Atg14","Gngt2","Ndc1"
"462","Caskin2","Tm7sf2","Lax1"
"463","S100a4","Mcm9","Dusp2"
"464","Tanc1","Nploc4","Edem2"
"465","Mnt","Pum1","Chaf1a"
"466","Klf16","Dipk2a","Ssrp1"
"467","Nid2","Il17re","Sfxn1"
"468","Zfp703","Pgap2","Rab37"
"469","Prdm10","Zfp106","Fbxo5"
"470","Zfp518b","Txndc12","Rflnb"
"471","Fam168a","Fads3","Eif3l"
"472","Neto2","Nupr1","Ssh2"
"473","Zfp825","Sav1","Stip1"
"474","Ust","H2bc27","Cdca7l"
"475","Itgb8","Vezt","Atpif1"
"476","Nbeal1","Cnksr3","Itpkb"
"477","Zdhhc1","Kdm5d","Kif21b"
"478","Lbhd1","Tmtc4","Smox"
"479","Ppm1l","Pou2f1","Pbk"
"480","Ano8","Slc12a4","Rpl7l1"
"481","Tmem106a","Ap2a1","Oser1"
"482","Sec24d","Cdip1","Arid4a"
"483","Foxq1","Fam149b","Cuedc2"
"484","Thra","Lrch3","Pafah1b3"
"485","Zmym6","Chrnb2","Dab2"
"486","Tigit","Bivm","Msc"
"487","Pak1","Cog6","Hat1"
"488","Meak7","Irak2","Phf20l1"
"489","Trim34a","Rcor2","H2-Q5"
"490","Zscan22","Gfra1","Abhd4"
"491","Cep162","Pik3r6","Bin1"
"492","Sh3gl3","Ahctf1","Ergic1"
"493","Agrn","Nrgn","Atf4"
"494","Trappc14","Fam240a","Rangap1"
"495","Fcgr2b","Rabl3","Hmmr"
"496","Chia1","H2bc21","Cd55"
"497","Sec16b","Ccr1","Slc35b2"
"498","Tsen15","Zfp944","Ccl5"
"499","Asnsd1","Pik3cg","Dnph1"
"500","Fbln1","Castor2","Arid1a"
"501","H3c4","Lrp1","Susd3"
"502","Fam8a1","Osgepl1","Adcy7"
"503","Slfn4","Rnf183","Il2rb"
"504","Capn15","Eid1","Nelfe"
"505","Ranbp17","Ercc8","Arid5a"
"506","Susd2","Trav6d-4","Tdrp"
"507","Lrrc51","Sec61a2","Crebbp"
"508","Prdm5","N4bp3","Bckdk"
"509","Dynlt1a","Amacr","Gbp8"
"510","Tcaim","Ahrr","Gspt1"
"511","G0s2","Tgfb3","Rnf125"
"512","Col5a1","Lipg","Ets2"
"513","Zhx3","Jade1","Basp1"
"514","Jag2","Phf2","S1pr4"
"515","Atp7a","Zswim3","Cdc6"
"516","Btg3","Rfx8","Rad54l"
"517","Cxcr6","Hs3st6","Aunip"
"518","Elapor2","B3gnt8","Ak4"
"519","Cacna1d","Vma21","Pebp1"
"520","Il11ra1","Gadd45gip1","Prim2"
"521","Limk1","Mier3","Ndrg2"
"522","Qtrt2","Dipk1c","Sdhd"
"523","Trim41","Slc7a4","Bltp1"
"524","Serpinb9","Dgkg","Ing3"
"525","Gvin1","Urm1","Mgll"
"526","Prkab2","Car2","Mrpl28"
"527","Zfp568","Map3k6","Ndrg1"
"528","Scai","Miga1","Il21"
"529","Ankrd29","Ano6","Prkcq"
"530","Prxl2b","Apc2","Prr14"
"531","Ndnf","Kbtbd13","Card11"
"532","Mtm1","Arhgef17","Fbxo2"
"533","Ncf2","Ece1","H4c4"
"534","Kremen1","Atxn7l3","Tmem64"
"535","Lcn2","Ksr1","Cradd"
"536","Rbm44","Cep76","Alad"
"537","Mrm2","Trdc","Jpt2"
"538","P3h2","Piga","Irf7"
"539","Tbc1d2","Syt5","Ly6c1"
"540","Kif1c","D6Wsu163e","Bin2"
"541","Gtf3c4","Cebpzos","Dennd5a"
"542","Bbs2","Mef2b","Eps8"
"543","Crtam","Vmac","Foxf2"
"544","Sag","Slc1a4","Sp110"
"545","Ago1","Lrp8","Kmt2d"
"546","Kctd7","Proser1","Smpdl3a"
"547","Trim68","N6amt1","Plod2"
"548","Chst2","Phc1","Hnrnpll"
"549","Zfp599","Zfp618","Pik3r5"
"550","Fes","D11Wsu47e","Ikbke"
"551","Sult2b1","Cdk10","Bri3bp"
"552","Cdk20","Agbl5","Gm2a"
"553","S100a5","Ino80","Ckmt1"
"554","Madcam1","Otud4","Arhgap25"
"555","Trim36","Inpp5e","Nudt5"
"556","Mpv17l","Zfp326","Nhp2"
"557","Mast4","Ylpm1","Nedd1"
"558","Lig4","Msrb2","Slc30a2"
"559","Fgf2","Cd46","Ctsw"
"560","Lrp11","Nsun3","Pbxip1"
"561","Naf1","Ighj1","C1qb"
"562","Rab11fip5","Alkbh4","Eif4ebp1"
"563","Stx3","Ggct","Etv3"
"564","Trav6n-6","Cog7","Pitpnc1"
"565","Tns1","Emilin1","Nsun2"
"566","Pard3b","Lrif1","Sgo1"
"567","Tmem86a","Abracl","Rbms1"
"568","Dnah7a","Leng8","Tspan6"
"569","Shpk","Gabpb2","Rnaseh2a"
"570","Sgip1","Spred3","Txn1"
"571","D630023F18Rik","2700097O09Rik","Tube1"
"572","Top1mt","Cyb5rl","Ccnf"
"573","Dgkh","Utp25","Tle4"
"574","Slc52a3","Ada","Pcf11"
"575","C1qtnf4","Zadh2","Xbp1"
"576","Aqp3","Tomt","Hps3"
"577","Apobr","1600012H06Rik","Eif6"
"578","Pwwp2b","Fhip2b","Slc25a1"
"579","4921507P07Rik","Pou2af1","Smad7"
"580","Tal2","Csgalnact2","Ncapg"
"581","Nsg1","Slc27a4","Tex15"
"582","Wtip","Lrrk2","Lama5"
"583","Lmntd2","Pla2g6","Ywhah"
"584","Zbtb49","Bex2","Pnisr"
"585","Myo1h","Myo6","Cd300c2"
"586","Mmp11","Haao","Ehd3"
"587","Tfcp2","Ermp1","Armc7"
"588","Sec14l2","Nxn","Hif1a"
"589","Sulf2","Garre1","Cenpe"
"590","H2bc9","Gpr34","Rap1b"
"591","Pde5a","Sugct","Syce2"
"592","Zc3h12c","Usp36","Mndal"
"593","Fam221a","Usp35","Wdhd1"
"594","Dock5","Crmp1","H2-T10"
"595","Asb2","Trav17","Trac"
"596","Klrk1","Odaph","Mt1"
"597","Aldh6a1","H2-Ke6","Chst12"
"598","Hspb6","Alg12","Ythdc1"
"599","Myef2l","Gldc","Clk4"
"600","Chn1","Kcnq4","1810037I17Rik"
"601","Tmem156","Cep295","Blmh"
"602","Atp9a","Zcwpw1","P2ry10"
"603","Dab2ip","Sgcb","Ms4a4b"
"604","Tspan33","Gpx3","Polr3h"
"605","Amz1","Mturn","Ctnna1"
"606","Trav13-5","Tmem119","Acsl6"
"607","Gm527","Arl16","Prep"
"608","Zfp268","Hhex","Gimap8"
"609","Lpin3","Thbs1","Aco2"
"610","Khdrbs3","Cdcp1","Hbp1"
"611","Mtfp1","Slc7a5","Ptrh2"
"612","Ogfrl1","Pcbp3","Dennd2d"
"613","Baiap2l2","Zfp248","Lonp1"
"614","Lst1","Adssl1","Hrob"
"615","C8g","Pard6g","Sorcs1"
"616","Wdr47","Hpcal4","Ifngr1"
"617","Rnf227","Zfp446","Foxp3"
"618","Sarm1","Tgtp1","Tmem71"
"619","Shf","Myo5a","Eif3b"
"620","Fut10","Taf1a","Stard4"
"621","Arrdc4","Dbp","Sephs1"
"622","Xkr6","Alg11","Tespa1"
"623","Fcrl1","Rab31","Cd164"
"624","Tmem176a","Trim62","Exo1"
"625","Ptprf","Ptgir","Enah"
"626","Col18a1","Arfgef2","Slc16a5"
"627","Stag3","Bcs1l","Lum"
"628","Dgkq","Naprt","Fcna"
"629","E130311K13Rik","Susd4","Stk38"
"630","Zfp169","Runx2","Prkd2"
"631","Slit3","Metrnl","Tmem97"
"632","Bex1","Rxra","Nipbl"
"633","Asic3","Trbj2-2","Slc12a7"
"634","Ablim2","Mgat4b","Shroom3"
