"","Har96hVsNaive_unique","NoHar96hVsNaive_unique","Har96hVsNaive_NoHar96hVsNaive_intersection"
"1","Atp5b","Cnn2","Tpi1"
"2","Mcm2","Mcl1","Ppp1r15a"
"3","Pim3","Got1","Junb"
"4","Mcm4","Shisa5","Klf2"
"5","H2-D1","Cd3e","Pkm"
"6","Gpr83","Trbc2","Klf6"
"7","Tnfsf8","Ccdc71l","Myc"
"8","Ddx39a","Me2","Mcm7"
"9","Hnrnpab","Casp6","Stk17b"
"10","Cenpa","Map2k1","Eno1"
"11","Dnajc9","Ltb","Btg1"
"12","Herpud1","Limd2","Tsc22d3"
"13","Zfp207","Gsn","Top2a"
"14","Psmd6","Tspan32","Dusp10"
"15","Zdhhc20","Slamf6","Rrm1"
"16","Alyref","Ccnd3","Pgam1"
"17","Lgals9","Itga4","Birc5"
"18","Ubc","Csk","Dusp1"
"19","Cse1l","Pgs1","S1pr1"
"20","H2az2","Ugdh","Mcm6"
"21","Gpaa1","Cnn3","Gramd3"
"22","Slc3a2","Cct7","Gpr183"
"23","Phf5a","Fermt3","Scd2"
"24","Pja1","Slfn2","Rrm2"
"25","Ctsd","Inpp4b","Stmn1"
"26","Ndufs2","Ppp3cc","Il2ra"
"27","Abcf2","Themis","Txnip"
"28","Dck","Ms4a6b","Ddx5"
"29","Gsdmd","Plekhb2","Pgk1"
"30","Ubl7","Ppp1r18","Tubb5"
"31","Anp32b","Crem","Jun"
"32","H2-T23","Gimap3","Lgals1"
"33","Nubp2","Trbc1","Gapdh"
"34","Sh2d1a","Wdr1","Tfdp1"
"35","Acap1","Lsp1","Mcm3"
"36","Dtymk","Nxf1","Clk1"
"37","Ints11","Lgals3","Bsg"
"38","Eif2b1","Ly9","Pnrc1"
"39","Ruvbl1","Ccm2","Ldha"
"40","Itih5","Calm3","Mcm5"
"41","Rbm17","Sp3","Lig1"
"42","Cyc1","Maf1","Cdc20"
"43","Tiparp","Lcp2","Tnfaip3"
"44","Tmem165","Gpr65","Ezh2"
"45","Septin6","Lgals3bp","Frat2"
"46","Ssr2","Gem","Lta"
"47","Apobec3","Ssr3","Rgs2"
"48","Usp1","Pdia6","Zfp36"
"49","Tmpo","Gimap4","Tacc3"
"50","Cops6","Odc1","Galk1"
"51","Itgb1","1700017B05Rik","Cish"
"52","Cdc7","Sirt7","Kpna2"
"53","Rcc2","Tmem30a","Ccna2"
"54","Pcna","Slc48a1","Rfc3"
"55","Dkc1","Sars","Ripor2"
"56","Trim30a","Nfil3","Racgap1"
"57","Naa20","Gbe1","Btg2"
"58","B2m","Chmp5","Vdac1"
"59","Msl3","Snap47","H2-Q6"
"60","Slc29a1","Ankrd46","Tnfrsf4"
"61","Ssna1","Ddx3x","Fkbp1a"
"62","Aen","Mtpn","Tuba1b"
"63","Memo1","Rnf181","Cd96"
"64","Rcl1","Rab11b","Cdk4"
"65","Sumo3","Glb1","Adgre5"
"66","Supt20","Map1lc3b","Ccnl1"
"67","Timm17b","Hsd17b10","Vim"
"68","Avpr1a","Cd247","Ier5"
"69","Osbpl9","Tnip2","Uhrf1"
"70","Nop2","Rnf11","Hemk1"
"71","Zfp280b","Irf8","Pde4b"
"72","Nup107","Irf2","Ccn3"
"73","Ash2l","Hnrnpdl","Ifi213"
