"","Har5hVsNaive_unique","NoHar5hVsNaive_unique","Har5hVsNaive_NoHar5hVsNaive_intersection"
"1","Trib2","Cytip","Myc"
"2","Ndrg3","Pde4b","Irf8"
"3","Ccar1","Hdgf","Klf2"
"4","Ddx39b","Insig1","Lef1"
"5","Pgs1","Ikbkb","Klf6"
"6","Ptprc","Pdia6","Txnip"
"7","Fyn","Rbbp7","Map2k3"
"8","Sbno1","Ccnl1","Slamf1"
"9","Lcp2","Gramd1a","Tcf7"
"10","Ezr","Slc25a5","Rac2"
"11","Eif1","Tkt","Ltb"
"12","Zfp281","Arl6ip5","M6pr"
"13","Abcf1","Psmd6","Tsc22d3"
"14","Ccnl2","Aldoa","Lsp1"
"15","Prkar1a","Eif4h","Dusp10"
"16","Rangap1","Ppif","Shmt2"
"17","Dnaja2","Creld2","Itgb7"
"18","Eno1","2210016F16Rik","Cnn2"
"19","Kcnn4","Fkbp4","Ppp1r15a"
"20","Dnajc3","Srsf2","Tars"
"21","Pdlim1","Hspbp1","Txnrd1"
"22","Rrad","Rtn3","Rnf149"
"23","Mxd1","Akap8l","Sp100"
"24","Lpcat4","Cd247","Zfp52"
"25","Zfp207","Ddost","Il2ra"
"26","Rae1","P4hb","Srm"
"27","Cd48","Lmbr1l","Pmepa1"
"28","Rnf187","Clns1a","Jun"
"29","Satb1","Pja1","Nr4a2"
"30","Sar1a","Tmem147","Nabp1"
"31","2410002F23Rik","Slc30a5","Anxa6"
"32","Lta4h","Mgat2","Orai1"
"33","Arid5a","Gbp4","Arhgap45"
"34","Vps54","Ak2","Gnai2"
"35","Snx17","Slc25a39","Junb"
"36","B4galnt1","Ugcg","Psmd1"
"37","Ppm1g","Cltb","Eif3c"
"38","Casp8ap2","Gsr","Ripor2"
"39","Tecr","Rhoh","Psat1"
"40","Znrf2","Memo1","Bin2"
"41","Tagap1","Fkbp1a","Adgre5"
"42","Srsf3","Man2a2","Fyb"
"43","Zfp53","Usp14","Frat2"
"44","Atp2b1","Srsf5","Nars"
"45","Serinc3","Ecd","Tnfaip3"
"46","Ewsr1","Adsl","Gfi1"
"47","Cast","Banf1","S1pr1"
"48","Sp110","Bcl2l1","Odc1"
"49","Faf1","Znrf1","Noc4l"
"50","Ephx1","Sirt7","Cyp51"
"51","Uimc1","Irf9","Pnrc1"
"52","Mfsd6","Alg5","Rrp1b"
"53","Ergic2","Mbd3","Tspan32"
"54","Tm9sf4","Mad2l2","Evl"
"55","Vps4b","Anp32e","Emp3"
"56","Retreg2","Bag1","Nolc1"
"57","Peli1","Itpkb","Hspa9"
"58","Cblb","Uchl3","Otulinl"
"59","Senp3","Cnn3","Rcsd1"
"60","Kctd13","Gm8369","Cars"
"61","Sptssa","Spcs3","Psme3"
"62","Lsg1","Erg28","Ccnd3"
"63","Pdia4","Slc6a6","Dgka"
"64","Cog8","Otud5","Stx6"
"65","Rftn1","Pigu","Nfkb1"
"66","Acat1","Nub1","Arhgap9"
"67","Vcp","Polr2e","Cnp"
"68","Dazap2","Psmb6","Cd4"
"69","Wbp2","Traf4","Egr2"
"70","Limd2","Slc25a1","Rhof"
"71","Ctsa","Irf2bpl","Tomm40"
"72","Med20","Psmg2","Yars"
"73","Ptcd3","H2-Q7","Mthfd2"
"74","Elavl1","Blmh","Add3"
"75","Cstf3","Dynll2","Tbc1d10c"
"76","Dop1b","Nfkbiz","Slc19a1"
"77","Abhd12","Rexo2","Gars"
"78","Slc25a4","Msto1","Nop2"
"79","Nosip","Zdhhc13","Cd96"
"80","Zdhhc3","Smap2","Sash3"
"81","Bin1","Stard4","Elf1"
"82","Tmem248","Cabin1","Shmt1"
"83","Selenok","Pnisr","Ptpn22"
"84","Bcl2l11","Hnrnpa1","Tle5"
"85","Pafah1b2","Gbp7","Crlf3"
"86","Usp16","Plp2","Atad3a"
"87","Glipr2","Kctd2","Igfbp4"
"88","Iws1","Trim26","Rab8b"
"89","Fosl2","Slc44a2","Hif1a"
"90","Paxbp1","Gpr171","Ctsd"
"91","Ntan1","Ubxn4","Prmt1"
"92","Wdr70","Coro1b","Klf3"
"93","Arfrp1","Plcxd2","Rcl1"
"94","Sltm","Ssr4","Sh2d2a"
"95","Nrros","Fam169b","Entrep3"
"96","Calm3","Uap1","Arhgdib"
"97","Arap2","Xpnpep1","Acp5"
"98","Dnaja1","Herpud2","Mat2a"
"99","Tasor2","Ptges3","Gramd3"
"100","Mtarc2","G6pdx","Slc1a5"
"101","Cactin","Psma6","Celf2"
"102","Naa15","Fbxo33","Ccr8"
"103","Ranbp3","Rxrb","Tagln2"
"104","Pisd","Fh1","Sh3kbp1"
"105","Ints11","Cd40lg","Socs1"
"106","Washc3","Atg12","Pes1"
"107","Pip4k2a","Gpr18","Gspt1"
"108","Ubxn11","Slc38a2","4930523C07Rik"
"109","Med1","Gbp9","Jakmip1"
"110","Tubb2a","Atf7ip","Irf1"
"111","Ptpn11","Akap13","Ncl"
"112","Psmb10","Zfp292","Ypel3"
"113","Prps2","Slc35b1","Ets1"
"114","Usp39","Dnajc21","Dusp1"
"115","Gmppa","Cnot6l","Irs2"
"116","Api5","Crbn","Pdcd4"
"117","Cyb5a","Cbfb","Cct3"
